year,road_section,section_length_km,adu,sdu,vdu,thousand_vehicle_km
2000,1-a1,9.01,202.0,382.0,84.0,664.0
2000,1-a2,11.18,222.0,378.0,115.0,906.0
2000,1-a3,9.47,255.0,403.0,155.0,881.0
2000,1-a4,11.48,307.0,535.0,152.0,1286.0
2000,1-a6,13.05,338.0,650.0,147.0,1610.0
2000,1-a7,10.24,292.0,556.0,110.0,1091.0
2000,1-a8,9.33,300.0,589.0,146.0,1022.0
2000,1-a9,5.65,287.0,563.0,143.0,592.0
2000,1-b0,12.09,277.0,529.0,104.0,1222.0
2000,1-b1,8.79,277.0,529.0,104.0,889.0
2000,1-b2,12.04,313.0,591.0,135.0,1376.0
2000,1-b3,0.72,1535.0,1825.0,1187.0,403.0
2000,1-b4,12.07,472.0,804.0,253.0,2079.0
2000,1-b5,14.29,457.0,794.0,241.0,2384.0
2000,1-b6,12.44,457.0,794.0,241.0,2075.0
2000,1-b7,13.1,494.0,857.0,229.0,2362.0
2000,1-b8,11.82,583.0,990.0,321.0,2515.0
2000,1-b9,6.02,771.0,1103.0,513.0,1694.0
2000,1-c0,10.13,975.0,1335.0,658.0,3605.0
2000,1-c1,0.28,2361.0,2807.0,1826.0,241.0
2000,1-c2,7.62,1431.0,2046.0,951.0,3980.0
2000,1-c3,5.03,1613.0,2304.0,1071.0,2961.0
2000,1-c4,0.78,2094.0,2995.0,1393.0,596.0
2000,1-c5,3.04,1884.0,2695.0,1251.0,2090.0
2000,1-c7,3.5,1608.0,2300.0,1069.0,2054.0
2000,1-c8,10.24,1570.0,2336.0,940.0,5868.0
2000,1-d1,3.18,1640.0,2346.0,1090.0,1904.0
2000,1-d2,13.69,2641.0,3629.0,1767.0,13197.0
2000,1-d3,0.23,3340.0,4432.0,2326.0,280.0
2000,1-d4,1.3,9653.0,12687.0,7201.0,4580.0
2000,1-d5,1.78,5707.0,7574.0,3975.0,3708.0
2000,1-d6,10.5,4970.0,6757.0,3300.0,19048.0
2000,1-d8,16.06,4560.0,6043.0,3072.0,26730.0
2000,1-d9,5.66,5598.0,7435.0,3888.0,11565.0
2000,1-e1,9.82,5898.0,7703.0,4277.0,21140.0
2000,1-e2,3.41,6920.0,8987.0,5087.0,8613.0
2000,1-e3,2.38,8899.0,10191.0,7374.0,7731.0
2000,1-f2,1.92,27209.0,29239.0,24562.0,19068.0
2000,1-f3,4.9,16278.0,18178.0,14234.0,29113.0
2000,1-f4,1.61,8536.0,9452.0,7474.0,5016.0
2000,1-f5,11.96,4503.0,6055.0,3128.0,19657.0
2000,1-f6,3.61,3704.0,4979.0,2573.0,4881.0
2000,1-f7,0.94,3135.0,4234.0,2152.0,1076.0
2000,1-f8,5.76,3241.0,4438.0,2207.0,6814.0
2000,1-g0,0.48,3135.0,4234.0,2152.0,549.0
2000,1-g1,10.93,2566.0,3652.0,1672.0,10237.0
2000,1-g2,1.1,2739.0,3919.0,1800.0,1100.0
2000,1-g3,11.64,2603.0,3846.0,1681.0,11059.0
2000,1-g4,8.41,2416.0,3604.0,1394.0,7416.0
2000,1-g5,2.48,2723.0,4016.0,1640.0,2465.0
2000,1-g6,1.15,5716.0,7356.0,4069.0,2399.0
2000,1-g7,0.8,5308.0,7327.0,3695.0,1550.0
2000,1-g8,8.6,1894.0,3114.0,954.0,5945.0
2000,1-g9,9.12,1652.0,2717.0,832.0,5499.0
2000,1-h0,7.76,1419.0,2405.0,746.0,4019.0
2000,1-h1,10.1,1132.0,1917.0,594.0,4173.0
2000,1-h2,10.7,922.0,1538.0,482.0,3601.0
2000,1-h3,9.02,890.0,1490.0,471.0,2930.0
2000,1-h4,11.31,874.0,1465.0,463.0,3608.0
2000,1-j1,10.99,859.0,1456.0,410.0,3446.0
2000,1-j2,5.51,881.0,1476.0,466.0,1772.0
2000,1-j3,0.11,917.0,1579.0,492.0,37.0
2000,1-k1,4.67,884.0,1514.0,414.0,1507.0
2000,1-k2,12.01,921.0,1583.0,430.0,4037.0
2000,1-k3,11.87,916.0,1574.0,429.0,3969.0
2000,1-k4,4.07,1026.0,1761.0,481.0,1524.0
2000,1-k5,7.0,970.0,1661.0,454.0,2478.0
2000,1-k6,10.57,885.0,1707.0,462.0,3414.0
2000,1-k7,11.68,812.0,1391.0,380.0,3462.0
2000,1-k8,11.41,863.0,1479.0,404.0,3594.0
2000,1-k9,11.4,1001.0,1717.0,469.0,4165.0
2000,1-m0,0.84,2547.0,3099.0,2088.0,781.0
2000,1-m1,1.45,1094.0,1955.0,476.0,579.0
2000,1-m2,13.26,828.0,1476.0,357.0,4007.0
2000,1-m3,11.32,811.0,1447.0,352.0,3351.0
2000,1-m4,8.95,788.0,1418.0,327.0,2574.0
2000,1-m5,14.17,795.0,1367.0,373.0,4112.0
2000,1-m6,0.75,1230.0,2071.0,538.0,337.0
2000,1-m7,4.82,947.0,1537.0,501.0,1666.0
2000,1-m8,5.33,779.0,1296.0,393.0,1516.0
2000,1-m9,11.1,722.0,1195.0,365.0,2925.0
2000,1-n0,9.68,671.0,1125.0,331.0,2371.0
2000,1-n1,11.08,668.0,1120.0,329.0,2702.0
2000,1-p1,10.45,668.0,1120.0,329.0,2548.0
2000,1-p2,9.9,685.0,1149.0,338.0,2475.0
2000,1-p3,10.59,725.0,1216.0,357.0,2802.0
2000,1-p4,11.46,843.0,1307.0,494.0,3526.0
2000,1-p5,2.99,2052.0,2853.0,1410.0,2239.0
2000,1-p6,4.92,2552.0,3547.0,1752.0,4583.0
2000,1-p7,3.35,11890.0,11970.0,11461.0,14538.0
2000,1-p8,0.32,5237.0,6239.0,4300.0,612.0
2000,1-p9,1.58,2397.0,3419.0,1595.0,1382.0
2000,1-q0,2.13,1679.0,2446.0,1107.0,1305.0
2000,1-q1,7.1,1556.0,2270.0,1027.0,4032.0
2000,1-q2,5.52,1117.0,1628.0,737.0,2251.0
2000,1-q3,13.42,834.0,1396.0,446.0,4085.0
2000,1-q4,0.89,747.0,1230.0,412.0,243.0
2000,1-q5,13.83,751.0,1236.0,416.0,3791.0
2000,1-q6,4.34,422.0,758.0,205.0,668.0
2000,1-q7,9.65,354.0,636.0,174.0,1247.0
2000,1-q8,10.05,381.0,683.0,187.0,1398.0
2000,1-q9,12.64,274.0,513.0,124.0,1264.0
2000,1-r0,8.69,387.0,695.0,188.0,1228.0
2000,1-r1,11.28,425.0,765.0,206.0,1750.0
2000,1-r2,2.17,419.0,754.0,203.0,332.0
2000,1-r3,15.81,231.0,465.0,89.0,1333.0
2000,1-r4,8.78,159.0,343.0,45.0,510.0
2000,1-r5,9.12,156.0,332.0,51.0,519.0
2000,1-r6,0.75,156.0,332.0,51.0,43.0
2000,1-r7,10.1,145.0,308.0,42.0,535.0
2000,1-s1,7.85,145.0,308.0,42.0,415.0
2000,1-s2,8.3,145.0,308.0,42.0,439.0
2000,1-s3,9.27,145.0,308.0,42.0,491.0
2000,1-s4,12.03,145.0,308.0,42.0,637.0
2000,1-s5,19.94,126.0,267.0,41.0,917.0
2000,1-s6,7.61,133.0,278.0,43.0,369.0
2000,1-s7,10.81,174.0,304.0,71.0,687.0
2000,1-s8,9.7,207.0,361.0,83.0,733.0
2000,1-s9,11.51,240.0,418.0,97.0,1008.0
2000,1-t0,8.99,353.0,585.0,186.0,1158.0
2000,1-t1,11.24,377.0,625.0,198.0,1547.0
2000,1-t2,0.17,2085.0,2558.0,1718.0,129.0
2000,1-t3,2.52,2247.0,2754.0,1849.0,2067.0
2000,1-t4,11.0,483.0,834.0,252.0,1939.0
2000,1-t5,10.28,159.0,277.0,83.0,597.0
2000,1-t6,7.53,123.0,216.0,65.0,338.0
