counter_site_id,traffic_period,f_bin,counter_days,observed_daytime_vehicles,expected_daytime_vehicles
1-a1:7756,VDU,0-3,136,63479.95,62854.24833333333
1-a1:7756,VDU,12-15,15,6010.65,6937.0425
1-a1:7756,VDU,15-18,11,4858.299999999999,5513.61
1-a1:7756,VDU,18-21,5,1674.85,2238.4375
1-a1:7756,VDU,21-24,1,52.25,427.5
1-a1:7756,VDU,3-6,83,41305.049999999996,39125.322499999995
1-a1:7756,VDU,6-9,53,27308.699999999997,26699.94
1-a1:7756,VDU,9-12,32,13825.35,14718.999166666666
1-a1:7756,SDU,0-3,131,188246.3,186816.2175
1-a1:7756,SDU,12-15,1,2002.6,1899.24
1-a1:7756,SDU,3-6,182,225672.5,223722.9575
1-a1:7756,SDU,6-9,40,44232.95,46226.9525
1-a1:7756,SDU,9-12,12,14204.4,15693.3825
1-a1:7756,VHDU,0-3,136,75515.5,74449.885
1-a1:7756,VHDU,12-15,9,7226.65,7615.0575
1-a1:7756,VHDU,15-18,2,889.2,1241.46
1-a1:7756,VHDU,18-21,1,800.8499999999999,936.6999999999999
1-a1:7756,VHDU,3-6,130,75257.09999999999,74783.8575
1-a1:7756,VHDU,6-9,65,34998.0,35406.215
1-a1:7756,VHDU,9-12,23,14045.75,14299.875
1-a1:7776,VDU,0-3,132,93242.5,90849.7825
1-a1:7776,VDU,12-15,20,14863.699999999999,14808.029999999999
1-a1:7776,VDU,15-18,8,4180.0,5423.834999999999
1-a1:7776,VDU,18-21,1,1665.35,1302.26
1-a1:7776,VDU,3-6,101,69214.15,69717.6975
1-a1:7776,VDU,6-9,61,43799.75,43708.36
1-a1:7776,VDU,9-12,39,31258.8,31846.517499999998
1-a1:7776,VDU,>=24,2,13.3,581.0675
1-a1:7776,SDU,0-3,130,249730.3,247314.63999999998
1-a1:7776,SDU,12-15,4,6561.65,7393.7074999999995
1-a1:7776,SDU,3-6,169,324455.39999999997,321721.58499999996
1-a1:7776,SDU,6-9,49,89000.75,90501.13249999999
1-a1:7776,SDU,9-12,14,22022.899999999998,24839.934999999998
