file,records,columns,description
accidents.csv,6414,"id, timestamp, year, month, weekday, hour, lat, lon, meidsli, tegohapps, vehicle_count, road_section, season, traffic_period","Rural injury accident events with outcome, location, and calendar fields."
accident_conditions.csv,6414,"id, weather_station_id, weather_station_dist_km, weather_time_difference_minutes, f, fg, temp_station_id, temp_distance_km, temp_time_diff_min, temperature_c, temp_source, solar_elevation_deg, daylight_class",Independent wind and temperature matches plus astronomical daylight.
counter_wind.csv,864,"id, year, date, counter_id, counter_distance_km, counter_weather_station_id, counter_weather_station_dist_km, counter_station_accident_distance_km, weather_time, weather_time_difference_minutes, f",Accident-time mean wind from the same station used for the assigned counter-day.
temperature_matches.csv,6414,"id, timestamp, temp_station_id, temp_distance_km, temp_time_diff_min, temperature_c, temp_source",One row per accident with the selected temperature observation and source.
weather_frequency.csv,27633,"station, season, variable, bin_label, unit, measurement_count, total_measurements_in_period, frequency_pct","Station-season mean-wind, gust, and temperature frequencies used as O/E denominators."
weather_yearly.csv,284683,"station, year, season, variable, bin_label, unit, measurement_count, total_measurements_in_period, frequency_pct","Station-year-season mean-wind, gust, and temperature frequencies used for year-adjusted and selected-year O/E checks."
annual_traffic.csv,33757,"year, road_section, section_length_km, adu, sdu, vdu",Annual road-section traffic volumes and lengths.
case_control.csv,82193,"exposure, stratum_id, case, timestamp, station_id, value, controls_in_stratum","Time-stratified mean-wind, gust, and temperature samples."
temperature_frequency.csv,130164,"station, year, season, bin_label, bin_lower_c, measurement_count, total_measurements_in_period, frequency_pct",Combined station-year-season temperature counts used for the updated denominator.
weather_source_audit.csv,461,"source_file, station, listed_bytes, downloaded_bytes, sha256, source_rows, invalid_timestamp_rows, missing_f_rows, missing_fg_rows, missing_t_rows, outside_study_period_rows, study_period_rows, first_time, last_time","Official source-file hashes, row checks and date coverage."
road_rate.csv,20405,"year, road_section, traffic_period, weather_station_id, wind_bin, wind_bin_lower_ms, estimated_vehicle_km, injury_accidents, serious_or_fatal_accidents, one_vehicle_accidents, multiple_vehicle_accidents",Road-period wind exposure and matched accidents for the rate model.
road_exposure.csv,18,"traffic_period, wind_bin, wind_bin_lower_ms, estimated_vehicle_km, injury_accidents, serious_or_fatal_accidents",Vehicle-kilometres and injury accidents by traffic period and wind interval.
road_temperature.csv,30609,"year, road_section, traffic_period, weather_station_id, temperature_bin, temperature_bin_lower_c, estimated_vehicle_km, injury_accidents",Road-period temperature exposure and matched accidents for the secondary rate model.
road_seasons.csv,20555,"year, road_section, season, weather_station_id, wind_bin, wind_bin_lower_ms, estimated_vehicle_km, injury_accidents, serious_or_fatal_accidents",Year-specific road-section seasonal mean-wind exposure and matched accidents.
selection_summary.csv,18,"dataset, step, records",Counts used in data-selection figures.
daily_traffic.csv,774274,"date, counter_id, traffic, f_mean, f_full_day_mean, weather_station_id, full_observation_count, f_full_bin_0_5_count, f_full_bin_5_10_count, f_full_bin_10_15_count, f_full_bin_15_20_count, f_full_bin_20_25_count, f_full_bin_ge25_count, active_07_24_observation_count, f_07_24_bin_0_5_count, f_07_24_bin_5_10_count, f_07_24_bin_10_15_count, f_07_24_bin_15_20_count, f_07_24_bin_20_25_count, f_07_24_bin_ge25_count",Optional large daily-counter table with observed traffic and mean-wind observation counts.
counter_locations.csv,2332,"year, counter_id, road_section, lon, lat, location_method, location_is_estimated",One estimated counter location per counter-site year.
counter_check.csv,473,"road_section, station_id, status, official_station_m, station_difference_m, coordinate_difference_m",Estimated counter coordinates compared with official 20 m road-station points.
README.md,0,"file descriptions, rebuild instruction",Description of the analysis data layer.
manifest.csv,26,"file, records, columns, description",Inventory of the analysis data files.
daily_season_panel.csv,1912,"counter_id, year, season, wind_bin, allocated_vehicles, counter_days, observed_accidents, stratum",Canonical counter-year-season input for seasonal allocated-traffic analyses.
weather_monthly.csv,80640,"weather_station_id, month, variable, bin_label, bin_order, measurement_count, total_measurements_in_period, frequency, first_year, last_year, start_hour, end_hour",Station-calendar-month 07:00–24:00 weather frequencies pooled across 2007–2025.
weather_cleaning.csv,35,"year, no_wind_station_year, missing_wind, negative, upper_threshold, inconsistent_zero_gust, gust_below_mean, frozen_zero, negative_f, negative_fg, f_at_or_above_45, fg_at_or_above_65, fg_zero_rows, fg_zero_with_positive_f, excluded_rows, clean_wind_rows, input_rows",Annual and total quality-control exclusions from the current cleaned weather source.
counter_sections.csv,1994,"year, counter_section_id, road_section, counter_location_lat, counter_location_lon, counter_section_length_km, weather_station_id, weather_station_name, weather_station_dist_km, weather_station_within_limit, counter_station_m, counter_section_start_km, counter_section_end_km, source_station_min_m, source_station_max_m, channel_count, source_fastnr","Counter-section lengths, locations, source channels, and nominal nearest stations with observations in the counter year; event/exposure stations are selected per timestamp."
daily_vkt.csv,200,"variable, outcome, period, bin_label, bin_order, accidents, estimated_vehicle_km, rate_per_million_vehicle_km, counter_days, counter_sections, allocation_method","Rural accident rates per million vehicle-km; daily traffic and nearest available station per timestamp over 07:00–24:00, excluding unmatched time."
traffic_weather_response.csv,20,"variable, bin_label, bin_order, observed_allocated_vehicles, expected_allocated_vehicles, traffic_multiplier, traffic_change_pct, observed_minutes, counter_days, counter_sections, baseline_strata, analysis_period, baseline, allocation_method","Observed daily-counter traffic allocated by same-day weather relative to the same counter-section, year, month, and weekday expectation."
