traffic_period,wind_bin,wind_bin_lower_ms,estimated_vehicle_km,injury_accidents,serious_or_fatal_accidents
SDU,0-5,0.0,13555311578.640676,987,245
SDU,5-10,5.0,5475576112.818067,653,159
SDU,10-15,10.0,975109176.3096608,102,30
SDU,15-20,15.0,122531291.74121085,36,13
SDU,20-25,20.0,14268775.256471124,5,1
SDU,>=25,25.0,2226455.326703928,3,1
VDU,0-5,0.0,6197730777.91887,760,148
VDU,5-10,5.0,3795055864.392986,568,107
VDU,10-15,10.0,1328469366.2924988,311,45
VDU,15-20,15.0,289629751.9233621,96,22
VDU,20-25,20.0,52889379.2839486,23,2
VDU,>=25,25.0,10058053.918335022,4,0
VHDU,0-5,0.0,8408555315.681788,792,159
VHDU,5-10,5.0,4452744748.217194,534,97
VHDU,10-15,10.0,1184797980.1556869,171,42
VHDU,15-20,15.0,208038891.40903446,54,10
VHDU,20-25,20.0,27945717.79549617,16,4
VHDU,>=25,25.0,4909067.148009502,10,3
