year,road_section,traffic_period,weather_station_id,wind_bin,wind_bin_lower_ms,estimated_vehicle_km,injury_accidents,serious_or_fatal_accidents,one_vehicle_accidents,multiple_vehicle_accidents
2007,1-a1,SDU,36386,0-5,0.0,491822.6220474861,0,0,0,0
2007,1-a1,SDU,36386,5-10,5.0,148610.25051414905,0,0,0,0
2007,1-a1,SDU,36386,10-15,10.0,34847.08277173604,1,0,0,1
2007,1-a1,SDU,36386,15-20,15.0,12008.11636053066,0,0,0,0
2007,1-a1,SDU,36386,20-25,20.0,1922.8683060980466,0,0,0,0
2007,1-a7,VDU,6272,0-5,0.0,143115.42167660472,0,0,0,0
2007,1-a7,VDU,6272,5-10,5.0,74003.63055769907,0,0,0,0
2007,1-a7,VDU,6272,10-15,10.0,24633.905745352513,1,0,1,0
2007,1-a7,VDU,6272,15-20,15.0,7075.6963311118925,0,0,0,0
2007,1-a7,VDU,6272,20-25,20.0,218.38568923184852,0,0,0,0
2007,1-b0,SDU,36156,0-5,0.0,580379.1877285666,1,0,1,0
2007,1-b0,SDU,36156,5-10,5.0,428051.01867926685,0,0,0,0
2007,1-b0,SDU,36156,10-15,10.0,93321.57987475807,0,0,0,0
2007,1-b0,SDU,36156,15-20,15.0,10383.133717408631,0,0,0,0
2007,1-b2,VHDU,36156,0-5,0.0,188928.8868627451,1,0,1,0
2007,1-b2,VHDU,36156,5-10,5.0,217215.73176470588,1,0,1,0
2007,1-b2,VHDU,36156,10-15,10.0,77994.52019607843,0,0,0,0
2007,1-b2,VHDU,36156,15-20,15.0,13107.84588235294,0,0,0,0
2007,1-b2,VHDU,36156,20-25,20.0,510.6952941176468,0,0,0,0
2007,1-b4,VDU,6045,0-5,0.0,147173.03623123383,0,0,0,0
2007,1-b4,VDU,6045,5-10,5.0,147199.58259419037,0,0,0,0
2007,1-b4,VDU,6045,10-15,10.0,111468.1780546448,1,0,1,0
2007,1-b4,VDU,6045,15-20,15.0,46987.06243313201,0,0,0,0
2007,1-b4,VDU,6045,20-25,20.0,8441.743420189818,1,1,1,0
2007,1-b4,VDU,6045,>=25,25.0,238.91726660914566,0,0,0,0
2007,1-b6,VHDU,36132,0-5,0.0,410972.5819204655,0,0,0,0
2007,1-b6,VHDU,36132,5-10,5.0,257116.56550236777,1,1,0,1
2007,1-b6,VHDU,36132,10-15,10.0,84678.05368403034,0,0,0,0
2007,1-b6,VHDU,36132,15-20,15.0,15676.228347121581,0,0,0,0
2007,1-b6,VHDU,36132,20-25,20.0,3214.5074981457174,0,0,0,0
2007,1-b6,VHDU,36132,>=25,25.0,132.103047869002,0,0,0,0
2007,1-b7,VHDU,36132,0-5,0.0,459800.2798254122,1,1,1,0
2007,1-b7,VHDU,36132,5-10,5.0,287664.61308267247,1,0,0,1
2007,1-b7,VHDU,36132,10-15,10.0,94738.66260626461,0,0,0,0
2007,1-b7,VHDU,36132,15-20,15.0,17538.722770582528,0,0,0,0
2007,1-b7,VHDU,36132,20-25,20.0,3596.4234894733836,0,0,0,0
2007,1-b7,VHDU,36132,>=25,25.0,147.7982255947965,0,0,0,0
2007,1-b8,VHDU,36127,0-5,0.0,452367.8583425741,0,0,0,0
2007,1-b8,VHDU,36127,5-10,5.0,331839.6732075027,1,0,1,0
2007,1-b8,VHDU,36127,10-15,10.0,104828.01392119852,0,0,0,0
2007,1-b8,VHDU,36127,15-20,15.0,14525.328469977587,0,0,0,0
2007,1-b8,VHDU,36127,20-25,20.0,1815.6660587471977,0,0,0,0
2007,1-c2,VDU,6315,0-5,0.0,359387.29875,0,0,0,0
2007,1-c2,VDU,6315,5-10,5.0,526742.18375,1,1,0,1
2007,1-c2,VDU,6315,10-15,10.0,226088.73375000007,0,0,0,0
2007,1-c2,VDU,6315,15-20,15.0,40774.46125000001,0,0,0,0
2007,1-c2,VDU,6315,20-25,20.0,4988.71875,0,0,0,0
2007,1-c2,VDU,6315,>=25,25.0,997.7437499999995,0,0,0,0
2007,1-d2,VDU,36308,0-5,0.0,1777582.134557377,1,0,0,1
2007,1-d2,VDU,36308,5-10,5.0,1690220.8433661202,2,1,1,1
