year,road_section,traffic_period,weather_station_id,temperature_bin,temperature_bin_lower_c,estimated_vehicle_km,injury_accidents
2007,1-a1,SDU,36386,-3-0,-3.0,78.48442065706314,0
2007,1-a1,SDU,36386,0-3,0.0,7220.566700449809,0
2007,1-a1,SDU,36386,3-6,3.0,29902.564270341056,0
2007,1-a1,SDU,36386,6-9,6.0,170350.43503615554,0
2007,1-a1,SDU,36386,9-12,9.0,323865.961841371,0
2007,1-a1,SDU,36386,12-15,12.0,135267.8990024483,1
2007,1-a1,SDU,36386,>=15,15.0,22525.028728577123,0
2007,1-a7,VDU,6272,<-6,-inf,17529.09132234304,0
2007,1-a7,VDU,6272,-6--3,-6.0,36281.142504384436,0
2007,1-a7,VDU,6272,-3-0,-3.0,46588.94703612768,0
2007,1-a7,VDU,6272,0-3,0.0,84500.70268677658,1
2007,1-a7,VDU,6272,3-6,3.0,48306.91445808489,0
2007,1-a7,VDU,6272,6-9,6.0,15068.612556997547,0
2007,1-a7,VDU,6272,9-12,9.0,771.6294352858647,0
2007,1-b0,SDU,36156,<-6,-inf,1139.6122372765572,0
2007,1-b0,SDU,36156,-6--3,-6.0,5381.502231583742,0
2007,1-b0,SDU,36156,-3-0,-3.0,15131.518039394286,0
2007,1-b0,SDU,36156,0-3,0.0,59639.70708413982,0
2007,1-b0,SDU,36156,3-6,3.0,84774.48809518389,0
2007,1-b0,SDU,36156,6-9,6.0,241217.92355687128,0
2007,1-b0,SDU,36156,9-12,9.0,454705.2826733463,0
2007,1-b0,SDU,36156,12-15,12.0,201141.55987931232,1
2007,1-b0,SDU,36156,>=15,15.0,49003.326202891956,0
2007,1-b2,VHDU,36156,<-6,-inf,4908.349215686274,0
2007,1-b2,VHDU,36156,-6--3,-6.0,14611.55980392157,0
2007,1-b2,VHDU,36156,-3-0,-3.0,44317.00274509804,2
2007,1-b2,VHDU,36156,0-3,0.0,108267.40235294118,0
2007,1-b2,VHDU,36156,3-6,3.0,121772.45568627451,0
2007,1-b2,VHDU,36156,6-9,6.0,157521.12627450982,0
2007,1-b2,VHDU,36156,9-12,9.0,45678.856862745095,0
2007,1-b2,VHDU,36156,12-15,12.0,680.9270588235294,0
2007,1-b4,VDU,6045,<-6,-inf,2123.7090365257404,0
2007,1-b4,VDU,6045,-6--3,-6.0,22936.057594477996,0
2007,1-b4,VDU,6045,-3-0,-3.0,88133.92501581823,0
2007,1-b4,VDU,6045,0-3,0.0,137085.41830773655,1
2007,1-b4,VDU,6045,3-6,3.0,145394.42991314348,0
2007,1-b4,VDU,6045,6-9,6.0,62012.30386655162,1
2007,1-b4,VDU,6045,9-12,9.0,3822.6762657463332,0
2007,1-b6,VHDU,36132,-6--3,-6.0,308.24044502767157,0
2007,1-b6,VHDU,36132,-3-0,-3.0,6208.843249843098,0
2007,1-b6,VHDU,36132,0-3,0.0,58697.7876031266,0
2007,1-b6,VHDU,36132,3-6,3.0,217485.65114166713,1
2007,1-b6,VHDU,36132,6-9,6.0,306126.79626176757,0
2007,1-b6,VHDU,36132,9-12,9.0,154868.80645176015,0
2007,1-b6,VHDU,36132,12-15,12.0,26244.47217664175,0
2007,1-b6,VHDU,36132,>=15,15.0,1849.4426701660293,0
2007,1-b7,VHDU,36132,-6--3,-6.0,344.86252638785874,0
2007,1-b7,VHDU,36132,-3-0,-3.0,6946.51660295544,0
2007,1-b7,VHDU,36132,0-3,0.0,65671.67823928795,0
2007,1-b7,VHDU,36132,3-6,3.0,243325.14540423345,1
2007,1-b7,VHDU,36132,6-9,6.0,342497.754778342,1
2007,1-b7,VHDU,36132,9-12,9.0,173268.7864722999,0
2007,1-b7,VHDU,36132,12-15,12.0,29362.580818166258,0
2007,1-b7,VHDU,36132,>=15,15.0,2069.1751583271525,0
2007,1-b8,VHDU,36127,<-6,-inf,587.421371947623,0
2007,1-b8,VHDU,36127,-6--3,-6.0,2776.901031025127,0
2007,1-b8,VHDU,36127,-3-0,-3.0,18957.689731036924,0
2007,1-b8,VHDU,36127,0-3,0.0,102318.12260469506,1
2007,1-b8,VHDU,36127,3-6,3.0,260868.49108764893,0
2007,1-b8,VHDU,36127,6-9,6.0,338408.1121847352,0
2007,1-b8,VHDU,36127,9-12,9.0,151020.69453344346,0
2007,1-b8,VHDU,36127,12-15,12.0,26380.559794738707,0
2007,1-b8,VHDU,36127,>=15,15.0,4058.547660729032,0
2007,1-c2,VDU,6315,<-6,-inf,191367.25125000003,0
2007,1-c2,VDU,6315,-6--3,-6.0,163829.52375000002,0
2007,1-c2,VDU,6315,-3-0,-3.0,156778.80125000002,0
2007,1-c2,VDU,6315,0-3,0.0,340962.2975,0
2007,1-c2,VDU,6315,3-6,3.0,214115.80875000003,1
2007,1-c2,VDU,6315,6-9,6.0,87535.38500000001,0
2007,1-c2,VDU,6315,9-12,9.0,4390.0725,0
2007,1-d2,VDU,36308,<-6,-inf,757980.8580546448,1
2007,1-d2,VDU,36308,-6--3,-6.0,550352.961748634,1
2007,1-d2,VDU,36308,-3-0,-3.0,602723.3909508197,0
2007,1-d2,VDU,36308,0-3,0.0,1197104.5896393445,0
2007,1-d2,VDU,36308,3-6,3.0,664131.1951038252,1
2007,1-d2,VDU,36308,6-9,6.0,253278.2261857924,0
2007,1-d2,VDU,36308,9-12,9.0,3012.4583169398907,0
2007,1-d2,VHDU,36308,<-6,-inf,91730.81638717775,0
2007,1-d2,VHDU,36308,-6--3,-6.0,248725.85295801965,0
2007,1-d2,VHDU,36308,-3-0,-3.0,495346.4084907598,0
2007,1-d2,VHDU,36308,0-3,0.0,1120619.7437987681,0
2007,1-d2,VHDU,36308,3-6,3.0,1383180.4084086244,0
2007,1-d2,VHDU,36308,6-9,6.0,1324833.5940508784,0
2007,1-d2,VHDU,36308,9-12,9.0,526023.5995448324,0
2007,1-d2,VHDU,36308,12-15,12.0,68271.78793406344,1
2007,1-d2,VHDU,36308,>=15,15.0,14135.568426876569,0
2007,1-d6,SDU,31399,-3-0,-3.0,20754.766666666666,0
2007,1-d6,SDU,31399,0-3,0.0,257359.1066666667,0
2007,1-d6,SDU,31399,3-6,3.0,592894.5011111111,0
2007,1-d6,SDU,31399,6-9,6.0,2139124.6177777783,1
2007,1-d6,SDU,31399,9-12,9.0,5192150.794444445,0
2007,1-d6,SDU,31399,12-15,12.0,2992837.353333334,1
2007,1-d6,SDU,31399,>=15,15.0,958870.2200000002,0
2007,1-d6,VDU,31399,<-6,-inf,171870.05056837757,0
2007,1-d6,VDU,31399,-6--3,-6.0,1111315.0842576646,1
2007,1-d6,VDU,31399,-3-0,-3.0,1369120.160110231,0
2007,1-d6,VDU,31399,0-3,0.0,2222213.0081984154,1
2007,1-d6,VDU,31399,3-6,3.0,1848854.5245607994,0
2007,1-d6,VDU,31399,6-9,6.0,538971.1294522907,0
2007,1-d6,VDU,31399,9-12,9.0,3754.4428522218395,0
2007,1-d6,VHDU,31399,<-6,-inf,49728.244362641744,0
2007,1-d6,VHDU,31399,-6--3,-6.0,109616.0225198017,0
2007,1-d6,VHDU,31399,-3-0,-3.0,617057.9999407374,0
2007,1-d6,VHDU,31399,0-3,0.0,2006775.280569833,0
2007,1-d6,VHDU,31399,3-6,3.0,2781573.4104780904,0
2007,1-d6,VHDU,31399,6-9,6.0,2687464.0448025526,1
2007,1-d6,VHDU,31399,9-12,9.0,958739.1628195338,0
2007,1-d6,VHDU,31399,12-15,12.0,147045.8838680267,0
2007,1-d6,VHDU,31399,>=15,15.0,25666.190638782835,0
2007,1-d8,SDU,31392,-6--3,-6.0,4130.950699686877,0
2007,1-d8,SDU,31392,-3-0,-3.0,329443.31830002845,1
2007,1-d8,SDU,31392,0-3,0.0,854074.0571602618,0
2007,1-d8,SDU,31392,3-6,3.0,2117112.2335895244,0
2007,1-d8,SDU,31392,6-9,6.0,7365485.097541701,1
2007,1-d8,SDU,31392,9-12,9.0,5710006.604642185,0
2007,1-d8,SDU,31392,12-15,12.0,1418981.5653424421,0
2007,1-d8,SDU,31392,>=15,15.0,340803.4327241673,0
2007,1-d8,VDU,31392,<-6,-inf,1810963.177948055,1
2007,1-d8,VDU,31392,-6--3,-6.0,1737762.8917542954,0
2007,1-d8,VDU,31392,-3-0,-3.0,2564390.5138935815,4
2007,1-d8,VDU,31392,0-3,0.0,3329125.211121071,4
2007,1-d8,VDU,31392,3-6,3.0,765924.9457834857,0
2007,1-d8,VDU,31392,6-9,6.0,148781.0694995116,0
2007,1-d8,VHDU,31392,<-6,-inf,139482.8518990302,0
2007,1-d8,VHDU,31392,-6--3,-6.0,890251.2077490016,0
2007,1-d8,VHDU,31392,-3-0,-3.0,2157029.8954877355,1
2007,1-d8,VHDU,31392,0-3,0.0,4150186.4950285223,2
2007,1-d8,VHDU,31392,3-6,3.0,3915428.4710673126,0
2007,1-d8,VHDU,31392,6-9,6.0,1849100.5393827723,0
2007,1-d8,VHDU,31392,9-12,9.0,211129.78128978892,0
2007,1-d8,VHDU,31392,12-15,12.0,48780.88809583571,0
2007,1-d9,SDU,31484,-6--3,-6.0,3470.750456100342,0
2007,1-d9,SDU,31484,-3-0,-3.0,50672.95665906499,0
2007,1-d9,SDU,31484,0-3,0.0,194014.9504960091,0
2007,1-d9,SDU,31484,3-6,3.0,542825.3713340935,1
2007,1-d9,SDU,31484,6-9,6.0,1608692.8364025084,0
2007,1-d9,SDU,31484,9-12,9.0,2467703.5742873433,1
2007,1-d9,SDU,31484,12-15,12.0,942655.8238768529,1
2007,1-d9,SDU,31484,>=15,15.0,277660.03648802737,1
2007,1-d9,VDU,31484,<-6,-inf,483343.3373363198,0
2007,1-d9,VDU,31484,-6--3,-6.0,521512.93994141975,1
2007,1-d9,VDU,31484,-3-0,-3.0,662989.4017711923,3
2007,1-d9,VDU,31484,0-3,0.0,1298181.3755582357,0
2007,1-d9,VDU,31484,3-6,3.0,482721.0068590627,0
2007,1-d9,VDU,31484,6-9,6.0,163258.02853376983,0
2007,1-d9,VHDU,31484,<-6,-inf,39791.620536935705,0
2007,1-d9,VHDU,31484,-6--3,-6.0,185785.7041621067,0
2007,1-d9,VHDU,31484,-3-0,-3.0,510430.442749658,0
2007,1-d9,VHDU,31484,0-3,0.0,1166580.5441552668,2
2007,1-d9,VHDU,31484,3-6,3.0,1568887.5490321477,0
