variable,wind_bin,bin_order,estimated_vehicle_km,contributing_section_periods,injury_accidents,serious_or_fatal_accidents,weather_expected_accidents,rate_per_100m_vehicle_km,weather_only_observed_expected,traffic_weather_expected_accidents,traffic_weather_observed_expected,rate_ci_95_low,rate_ci_95_high,sparse_bin
f,0-3,0,7464482623.085058,28796,904,187,1094.937575683918,12.110685303281988,0.8256178434970096,1241.6467640184385,0.728065361419148,11.33398521312276,12.926594314611544,False
f,3-6,1,6768794683.484346,28796,1151,286,1084.40551107948,17.004504550986088,1.0614110572476048,1125.9255918235365,1.0222700401860956,16.036203016969015,18.01599056857513,False
f,6-9,2,3885793793.696203,28796,692,147,688.6642530626385,17.808459139612843,1.0048437927807734,646.3653990786232,1.070601862331164,16.506150892975707,19.186205092099858,False
f,9-12,3,1880223179.9232004,28796,389,75,374.13432300815487,20.689033310178058,1.039733529049996,312.75751379795224,1.2437750744217195,18.68390750584618,22.85071617904017,False
f,12-15,4,780194659.8797337,28796,209,41,174.68948873045412,26.788186429296655,1.1964085619512403,129.77807353294696,1.6104415353872612,23.279297934923363,30.67664542774826,False
f,15-18,5,284024485.7338593,28796,114,24,70.90678382742762,40.13738453057949,1.6077446168966332,47.24481272456824,2.41296331651491,33.10839272148891,48.21725959020348,False
f,18-21,6,100906654.07128452,28796,44,10,26.808724306108648,43.604656605615546,1.6412567602097403,16.784876705059045,2.6214073998373895,31.683210242566464,58.53721622617648,False
f,21-24,7,33882377.65635493,28796,16,2,9.517917228262244,47.22218777642089,1.6810400444006843,5.636016144529022,2.838884699706099,26.991560469565297,76.68587447164477,True
f,>=24,8,17199358.47275029,28796,10,2,4.935423073556104,58.14170345855309,2.026168750067202,2.86095217434605,3.4953397996895124,27.881206753902948,106.92466274922076,True
fg,0-3,0,4474686343.2810755,28796,520,101,639.0911561326702,11.620926252871362,0.8136554465041793,744.3221585042916,0.6986222216532357,10.643438848822042,12.664049669129172,False
fg,3-6,1,5624833026.383867,28796,831,210,879.6983573729071,14.77377188090931,0.9446419821467692,935.6382857338704,0.8881637409142603,13.786240604725704,15.813360356974975,False
fg,6-9,2,4387518449.771839,28796,753,178,718.9094577818772,17.162320993525572,1.047419799321191,729.8225959267963,1.0317575862991346,15.958229386911356,18.433189068583033,False
fg,9-12,3,2980572607.424199,28796,549,113,522.0861709273695,18.419279524763667,1.051550549643604,495.7903340125553,1.107322919260659,16.910540605839273,20.02651864806895,False
fg,12-15,4,1808189665.7012465,28796,340,69,341.5489322373362,18.803337196827872,0.9954649770760816,300.77541345010525,1.1304115456112624,16.857541466940244,20.9121151150173,False
fg,15-18,5,977454522.527118,28796,216,37,201.5067609848548,22.098214804055747,1.0719243311951925,162.59040393738405,1.3284916868967542,19.2492901099998,25.249998088436303,False
fg,18-21,6,509848119.5042359,28796,139,22,113.37905347062488,27.263021021860443,1.2259760136030171,84.80845889646957,1.638987452533303,22.919294438742934,32.1905196913439,False
fg,21-24,7,239592535.6156584,28796,85,18,57.464586696977534,35.476898218712655,1.47917186715746,39.8539740195956,2.1327860543645354,28.337686243159094,43.86773404639822,False
fg,24-27,8,116037338.51723433,28796,39,14,29.475559292026276,33.60987118315159,1.3231301097160275,19.301724332461394,2.0205448657460257,23.89990398247327,45.945800332118445,False
fg,27-30,9,52690414.67142062,28796,23,5,13.926845170214085,43.65120324717286,1.6514867307630476,8.764556925784616,2.624205672318228,27.67111841492664,65.49823741195954,False
fg,30-33,10,23493929.270987008,28796,15,2,6.33483150564169,63.84628057309986,2.3678609267888597,3.907995064947006,3.838285297374961,35.73427857021301,105.3047303672524,True
fg,33-36,11,11042002.551674446,28796,6,2,3.0529386572896366,54.33796969273604,1.9653195407885231,1.836733693259438,3.2666684462854803,19.941077202132583,118.2708839397823,True
fg,>=36,12,9542860.782234237,28796,13,3,2.525349770210774,136.2274929568485,5.147801763284052,1.587365502479057,8.189670230137509,72.53540263198926,232.95316179761085,True
