dataset,step,records
accidents,valid_time_and_coordinates,126606
accidents,rural_accidents,24005
accidents,rural_injury_accidents,6414
accidents,primary_wind_oe_sample,6259
annual_traffic,road_section_year_periods,68946
annual_traffic,road_periods_with_wind,61442
daily_traffic,counter_days,774274
daily_traffic,counter_days_with_daytime_wind,763171
analysis_samples,source_accidents,126607
analysis_samples,rural_injury_2007_2025,6414
analysis_samples,weather_oe,6259
analysis_samples,matched_time,6257
analysis_samples,annual_road_link,5731
analysis_samples,annual_rate,5125
analysis_samples,rural_injury_2019_2024,1863
analysis_samples,counter_section_assigned,848
analysis_samples,counter_accident_weather,694
analysis_samples,same_day_weather_vkt,694
