id,timestamp,year,road_section,traffic_period,rate_weather_station_id,rate_weather_time,weather_time_difference_minutes,rate_station_accident_distance_km,weather_station_distance_km,section_length_km,f,fg,temperature_c,vehicle_count,vehicle_group
26560,2018-06-11 18:08:04,2018,41-15,SDU,1473.0,2018-06-11 18:10:00,1.9333333333333333,0.6002789800259376,2.669518633501688,13.26,2.56,3.16,8.56,2,2 or more vehicles
29246,2019-02-23 13:52:39,2019,1-f3,VDU,1479.0,2019-02-23 13:50:00,2.65,0.6550657222192249,1.1330985534714593,4.78,5.99,9.21,5.72,2,2 or more vehicles
32720,2020-02-27 09:30:30,2020,1-f6,VDU,31577.0,2020-02-27 09:30:00,0.5,0.4911814928411409,0.866726910174939,3.5799999999999996,12.28,15.29,-3.57,2,2 or more vehicles
43015,2022-12-15 17:45:00,2022,41-16,VDU,31363.0,2022-12-15 17:40:00,5.0,6.230194749742421,4.6115007826263295,11.62,12.86,16.37,-6.0,2,2 or more vehicles
48842,2024-03-23 10:00:48,2024,36-08,VDU,31591.0,2024-03-23 10:00:00,0.8,1.714203598164654,1.0913388450784898,2.24,12.0,15.97,-2.06,2,2 or more vehicles
49340,2024-04-19 14:36:45,2024,1-f3,VHDU,1479.0,2024-04-19 14:40:00,3.25,0.904551660614131,1.1330985534714593,4.78,5.75,8.98,1.26,2,2 or more vehicles
50372,2024-07-08 13:24:00,2024,1-g1,SDU,31578.0,2024-07-08 13:20:00,4.0,5.0393800365245,5.843019343976989,10.93,3.43,4.9,10.7,2,2 or more vehicles
55233,2025-06-06 18:40:00,2025,41-15,SDU,1370.0,2025-06-06 18:40:00,0.0,4.13860030519577,1.361433362983291,13.25,6.81,9.21,7.43,2,2 or more vehicles
3167977,2007-01-03 13:00:00,2007,60-44,VDU,2631.0,2007-01-03 13:00:00,0.0,14.436870650180783,12.523708675713856,11.18,4.55,9.7,3.11,1,1 vehicle
3168111,2007-01-03 18:08:00,2007,1-g8,VDU,1779.0,2007-01-03 18:10:00,2.0,5.707678606495929,4.97049771952842,8.600000000000001,2.05,2.87,-0.56,1,1 vehicle
3168112,2007-01-03 18:04:00,2007,1-p1,VDU,33357.0,2007-01-03 18:00:00,4.0,6.8911730675037255,2.6900827429345155,10.45,3.19,4.61,-1.7,4,2 or more vehicles
3168229,2007-01-03 23:37:00,2007,1-d9,VDU,31484.0,2007-01-03 23:40:00,3.0,1.8930416133005912,1.9957763377632372,4.41,0.63,1.08,-1.1,1,1 vehicle
3168293,2007-01-04 02:22:00,2007,429-02,VDU,1453.0,2007-01-04 02:20:00,2.0,7.063997647963316,6.251374669171158,4.32,1.81,2.25,0.77,1,1 vehicle
3169241,2007-01-05 17:23:00,2007,1-d8,VDU,31392.0,2007-01-05 17:20:00,3.0,2.119758870081287,1.811228203445721,16.63,4.93,6.37,0.0,2,2 or more vehicles
3171043,2007-01-08 11:35:00,2007,1-d6,VDU,31399.0,2007-01-08 11:30:00,5.0,1.7346888292792808,2.8564832758413083,10.48,14.41,18.42,-3.8,1,1 vehicle
3171654,2007-01-09 14:27:00,2007,35-03,VDU,36411.0,2007-01-09 14:30:00,3.0,8.816082335868051,12.565510462223775,8.47,1.92,3.04,-8.3,3,2 or more vehicles
3172179,2007-01-10 12:10:00,2007,1-e1,VDU,31484.0,2007-01-10 12:10:00,0.0,3.495799518471915,4.9875155306340275,9.79,1.88,2.74,-8.1,1,1 vehicle
3173445,2007-01-12 15:38:00,2007,1-h0,VDU,1881.0,2007-01-12 15:40:00,2.0,1.5863329055105997,2.491770257844639,7.76,8.8,11.96,-3.08,2,2 or more vehicles
3173584,2007-01-12 19:28:00,2007,1-k3,VDU,2197.0,2007-01-12 19:30:00,2.0,1.5882033208800208,5.350417813137898,11.87,13.58,18.23,-2.25,1,1 vehicle
3174032,2007-01-13 17:28:00,2007,1-f6,VDU,1578.0,2007-01-13 17:30:00,2.0,4.584025180281456,3.2714142691726864,3.61,2.59,3.07,-1.28,3,2 or more vehicles
3175007,2007-01-15 14:44:00,2007,1-d2,VDU,36308.0,2007-01-15 14:40:00,4.0,7.220636801231424,8.371302373817642,13.69,8.02,9.7,-5.2,2,2 or more vehicles
3175238,2007-01-15 21:55:00,2007,1-g5,VDU,1779.0,2007-01-15 21:50:00,5.0,6.936122721434286,7.000866790432446,2.48,2.89,3.78,-8.22,1,1 vehicle
3175566,2007-01-16 14:55:00,2007,45-01,VDU,1453.0,2007-01-16 14:50:00,5.0,7.768388822637353,6.206697467082469,5.8500000000000005,11.3,14.6,0.27,3,2 or more vehicles
3175586,2007-01-16 15:03:00,2007,421-01,VDU,31363.0,2007-01-16 15:00:00,3.0,6.965331712626121,7.100638397135419,1.49,8.62,13.33,-0.9,1,1 vehicle
3175708,2007-01-16 18:56:00,2007,45-01,VDU,1453.0,2007-01-16 19:00:00,4.0,7.789470566353213,6.206697467082469,5.8500000000000005,14.68,18.62,0.23,2,2 or more vehicles
3176533,2007-01-18 11:41:00,2007,35-07,VDU,6515.0,2007-01-18 11:40:00,1.0,2.2916153295803476,2.481668592393056,11.46,8.76,10.26,-4.58,1,1 vehicle
3176809,2007-01-18 18:10:00,2007,35-02,VDU,31399.0,2007-01-18 18:10:00,0.0,11.28087272520032,12.28642901367293,7.8,13.85,19.01,-3.5,1,1 vehicle
3178867,2007-01-22 11:03:00,2007,1-n0,VDU,3242.0,2007-01-22 11:00:00,3.0,14.18010136256994,14.629964090000165,9.74,5.24,7.32,-2.97,3,2 or more vehicles
3179158,2007-01-22 22:06:00,2007,41-15,VDU,1370.0,2007-01-22 22:10:00,4.0,2.2854125518788866,1.361433362983291,13.29,7.55,11.34,2.31,1,1 vehicle
3179511,2007-01-23 16:01:00,2007,41-16,VDU,31363.0,2007-01-23 16:00:00,1.0,9.418147010201194,4.6115007826263295,11.62,8.1,10.39,3.6,1,1 vehicle
