dimension,category,count,percent
accident_family,"Single vehicle: run-off-road, rollover, fall, or other",4184,68.36601307189542
accident_family,"Opposing, overtaking, or reversing vehicles",524,8.562091503267974
accident_family,"Same direction: overtaking, lane change, or rear-end",479,7.826797385620915
accident_family,"Animals, fixed objects, and other events",364,5.947712418300654
accident_family,"Junctions, roundabouts, and priority",174,2.843137254901961
accident_family,Turning and changes in direction,168,2.7450980392156863
accident_family,Bicycles,113,1.84640522875817
accident_family,Pedestrians and horse riders,91,1.4869281045751634
accident_family,Stopped or parked vehicles,23,0.3758169934640523
vehicle_count,1 vehicle,4460,72.87581699346406
vehicle_count,2 vehicles,1287,21.029411764705884
vehicle_count,3 or more,373,6.094771241830065
accident_family_by_severity,"Animals, fixed objects, and other events | Fatal or serious",54,3.848895224518888
accident_family_by_severity,"Animals, fixed objects, and other events | Minor injury",310,6.571973712105152
accident_family_by_severity,Bicycles | Fatal or serious,43,3.0648610121168924
accident_family_by_severity,Bicycles | Minor injury,70,1.483994064023744
accident_family_by_severity,"Junctions, roundabouts, and priority | Fatal or serious",39,2.77975766215253
accident_family_by_severity,"Junctions, roundabouts, and priority | Minor injury",135,2.861988552045792
accident_family_by_severity,"Opposing, overtaking, or reversing vehicles | Fatal or serious",208,14.825374198146829
accident_family_by_severity,"Opposing, overtaking, or reversing vehicles | Minor injury",316,6.699173203307187
accident_family_by_severity,Pedestrians and horse riders | Fatal or serious,39,2.77975766215253
accident_family_by_severity,Pedestrians and horse riders | Minor injury,52,1.1023955904176383
accident_family_by_severity,"Same direction: overtaking, lane change, or rear-end | Fatal or serious",97,6.9137562366357805
accident_family_by_severity,"Same direction: overtaking, lane change, or rear-end | Minor injury",382,8.098367606529575
accident_family_by_severity,"Single vehicle: run-off-road, rollover, fall, or other | Fatal or serious",879,62.65146115466857
accident_family_by_severity,"Single vehicle: run-off-road, rollover, fall, or other | Minor injury",3305,70.06571973712106
accident_family_by_severity,Stopped or parked vehicles | Fatal or serious,5,0.3563791874554526
accident_family_by_severity,Stopped or parked vehicles | Minor injury,18,0.38159847360610555
accident_family_by_severity,Turning and changes in direction | Fatal or serious,39,2.77975766215253
accident_family_by_severity,Turning and changes in direction | Minor injury,129,2.734789060843757
