f_bin,counter_days,counters,weather_stations,observed_daytime_vehicles,expected_daytime_vehicles,median_daily_traffic_oe,median_annual_period_daily_traffic,observed_to_expected_traffic,relative_traffic_pct,oe_ci_95_low,oe_ci_95_high,relative_traffic_ci_95_low_pct,relative_traffic_ci_95_high_pct,scope,daytime_traffic_share_assumption
0-3,189966,466,190,1138610468.25,1130710352.9108334,1.0116716399353476,1900.0,1.006986860356261,100.69868603562611,1.0057725720479105,1.0083749371374853,100.57725720479105,100.83749371374853,All periods,0.95
3-6,295895,466,193,1393649600.05,1385511633.7333333,1.0080475594185814,1300.0,1.005873618177235,100.58736181772349,1.0050743660035903,1.0067549258151207,100.50743660035903,100.67549258151207,All periods,0.95
6-9,151068,466,185,517720943.29999995,522583766.44,0.9949801078964361,955.8196721311475,0.9906946532741974,99.06946532741973,0.9887720519911201,0.9926159794152392,98.87720519911201,99.26159794152392,All periods,0.95
9-12,64576,466,180,155117134.29999998,161654255.47416666,0.9667997854205163,740.0,0.9595610944172679,95.9561094417268,0.9534389990330914,0.9657001003456858,95.34389990330914,96.57001003456858,All periods,0.95
12-15,24586,458,170,36807775.65,39914892.69083333,0.9217926082055345,560.0,0.9221564475971422,92.21564475971422,0.9111517153222912,0.9316490564051055,91.11517153222913,93.16490564051055,All periods,0.95
15-18,8595,364,159,8675575.75,9898758.9375,0.855797733217088,447.6393442622951,0.8764306520420303,87.64306520420303,0.846790018751616,0.9008135681636258,84.6790018751616,90.08135681636259,All periods,0.95
18-21,2760,274,132,1992069.25,2410347.5366666666,0.7695456406058125,359.0,0.8264655696725316,82.64655696725316,0.7897604715047969,0.8573336183863443,78.97604715047969,85.73336183863442,All periods,0.95
21-24,681,166,89,332309.05,455471.2141666667,0.5815200820467334,250.0,0.7295939670040289,72.95939670040289,0.6357056052200314,0.8032348884011771,63.57056052200314,80.3234888401177,All periods,0.95
>=24,294,105,50,91133.5,145570.05166666667,0.34491315136476425,220.0,0.6260456663756766,62.60456663756766,0.521507215926688,0.709075669154273,52.1507215926688,70.9075669154273,All periods,0.95
0-3,56331,465,180,314840161.2,308420651.1816667,1.031804550578708,1100.0,1.0208141380732385,102.08141380732386,1.0188222899758932,1.0232816727218552,101.88222899758932,102.32816727218552,VDU,0.95
3-6,79569,465,186,346529331.15,345656920.56333333,1.01800106172482,890.0,1.0025239204967886,100.25239204967886,1.0007655700716305,1.004419712963035,100.07655700716305,100.4419712963035,VDU,0.95
6-9,54210,465,178,177197978.6,178619832.2,0.9989076514476294,637.0,0.9920397775404471,99.20397775404471,0.9895116137314071,0.9949414185404211,98.9511613731407,99.49414185404211,VDU,0.95
9-12,29568,465,174,67201571.2,70978644.66,0.9574325033140372,540.0,0.9467857765093596,94.67857765093596,0.9398612758297792,0.9537510021156324,93.98612758297791,95.37510021156324,VDU,0.95
12-15,13078,439,164,16812718.099999998,18636635.89333333,0.8926905132192845,425.0,0.9021326700927939,90.21326700927939,0.8886174347320253,0.9137667826288313,88.86174347320252,91.37667826288313,VDU,0.95
15-18,5313,354,152,4785727.6,5645223.918333333,0.8009555442212875,351.0,0.8477480555656884,84.77480555656885,0.8110691390772402,0.8833152914076511,81.10691390772402,88.33152914076511,VDU,0.95
18-21,1729,241,122,1110747.5999999999,1378259.8733333333,0.6993165929966456,267.0,0.8059057812614447,80.59057812614448,0.7487778227634733,0.8561910465457705,74.87778227634733,85.61910465457704,VDU,0.95
21-24,479,146,79,243683.55,322964.0108333333,0.5246944436938763,195.0,0.7545223053529445,75.45223053529445,0.6541388751800089,0.8315004024464575,65.41388751800089,83.15004024464575,VDU,0.95
>=24,225,100,47,58193.2,103047.90916666666,0.3405261217014245,200.0,0.5647198518689013,56.47198518689013,0.4720246877467205,0.6327770577941513,47.20246877467205,63.27770577941513,VDU,0.95
0-3,67880,458,165,447482188.84999996,449128801.0183333,1.004217679814087,3300.0,0.9963337640235943,99.63337640235943,0.9946356955703218,0.9979716240062139,99.46356955703219,99.79716240062139,SDU,0.95
3-6,117070,460,169,581150352.35,576693204.5591667,1.0063930707362343,1900.0,1.0077288023434237,100.77288023434237,1.006855240042048,1.0086237271523657,100.68552400420481,100.86237271523657,SDU,0.95
6-9,45195,459,167,165624489.6,166850282.9125,0.9919137978544482,1400.0,0.9926533339284607,99.26533339284606,0.9905659394105815,0.994695158257317,99.05659394105814,99.4695158257317,SDU,0.95
9-12,14588,454,163,36480113.05,37357447.13833333,0.9691370902046215,1150.0,0.9765151487711515,97.65151487711515,0.9708520900106258,0.9814277319991148,97.08520900106258,98.14277319991149,SDU,0.95
12-15,3956,306,140,6656847.6,7044887.481666666,0.9351851851851852,1050.0,0.9449189383540211,94.49189383540211,0.9333411978191251,0.9554104955790804,93.3341197819125,95.54104955790804,SDU,0.95
15-18,936,195,94,1229600.2,1345247.5633333332,0.8956480085316247,900.0,0.9140326535535397,91.40326535535397,0.8859576848991463,0.933988225728312,88.59576848991463,93.3988225728312,SDU,0.95
18-21,240,97,52,227306.5,270888.415,0.8550313871000874,840.0,0.8391148805680746,83.91148805680746,0.8008801220144997,0.8688621384626051,80.08801220144997,86.8862138462605,SDU,0.95
21-24,55,38,24,15689.25,29133.729166666664,0.33085896076352067,560.0,0.538525291775927,53.8525291775927,0.40937514824884097,0.6574836312910751,40.9375148248841,65.74836312910752,SDU,0.95
>=24,24,14,9,8812.199999999999,15270.0625,0.20883786677468258,560.0,0.577089975892371,57.7089975892371,0.24759942458100342,0.8301291916719042,24.759942458100344,83.01291916719042,SDU,0.95
0-3,65755,465,173,376288118.2,373160900.7108333,1.0066149435784222,1450.0,1.0083803460737972,100.83803460737973,1.007306383198666,1.0094101615082096,100.7306383198666,100.94101615082096,VHDU,0.95
3-6,99256,465,176,465969916.54999995,463161508.6108333,1.0033539419369941,1178.1147540983607,1.0060635607384343,100.60635607384343,1.0049577166222092,1.0072423675157094,100.49577166222092,100.72423675157094,VHDU,0.95
6-9,51663,465,177,174898475.1,177113651.3275,0.9940421520276366,840.0,0.9874929108462457,98.74929108462457,0.9850978080281125,0.9899349887150666,98.50978080281125,98.99349887150666,VHDU,0.95
9-12,20420,465,172,51435450.05,53318163.67583333,0.9745667970933481,712.8360655737705,0.9646890759914397,96.46890759914398,0.9585549060758931,0.9708049397719624,95.85549060758932,97.08049397719624,VHDU,0.95
12-15,7552,439,161,13338209.95,14233369.315833332,0.9435215946843853,605.0,0.9371084002691092,93.71084002691093,0.9259384082875268,0.9473073592028473,92.59384082875269,94.73073592028473,VHDU,0.95
15-18,2346,285,137,2660247.9499999997,2908287.455833333,0.9101123595505617,513.2377049180328,0.9147128646668592,91.47128646668592,0.8934979087003568,0.9319581534737266,89.34979087003569,93.19581534737266,VHDU,0.95
18-21,791,200,90,654015.15,761199.2483333333,0.8335329341317365,445.0,0.859190483217087,85.9190483217087,0.8174943348456546,0.8954295555116107,81.74943348456546,89.54295555116107,VHDU,0.95
21-24,147,85,44,72936.25,103373.47416666667,0.7730732635585158,344.26229508196724,0.7055605955779968,70.55605955779967,0.5812838331385173,0.8076579645308348,58.12838331385173,80.76579645308348,VHDU,0.95
>=24,45,30,18,24128.1,27252.079999999998,0.8752897542883634,244.30327868852459,0.8853672820570027,88.53672820570027,0.76672810874915,0.9701908546720658,76.672810874915,97.01908546720658,VHDU,0.95
