wind_gust_interval_ms,observed_accidents,expected_accidents,observed_expected_ratio,station_bootstrap_ci_95_low,station_bootstrap_ci_95_high,bootstrap_probability_above_1,sparse_bin_fewer_than_20_accidents
0-3,920,1097.5,0.84,0.78,0.89,0.0,False
3-6,1437,1459.0,0.98,0.94,1.03,0.2444,False
6-9,1247,1198.8,1.04,0.98,1.1,0.901,False
9-12,912,880.5,1.04,0.97,1.1,0.8616,False
12-15,551,575.2,0.96,0.87,1.05,0.1664,False
15-18,352,335.1,1.05,0.93,1.18,0.7878,False
18-21,204,185.6,1.1,0.96,1.24,0.9208,False
21-24,130,93.7,1.39,1.11,1.68,0.997,False
24-27,62,47.5,1.3,0.98,1.62,0.9684,False
27-30,31,22.1,1.4,0.92,1.89,0.948,False
30-33,28,10.0,2.8,1.86,3.92,1.0,False
33-36,15,4.7,3.17,1.37,5.3,0.9958,True
>=36,25,4.2,6.01,3.5,8.95,1.0,False
