metric,value
road_sections,996.0
road_section_years,16257.0
road_section_year_traffic_periods,48771.0
periods_with_wind_frequency,29378.0
periods_assigned_nearest_valid_station_within_20km,29378.0
periods_with_nearby_station_but_no_clean_data,17548.0
periods_without_station_within_20km,1845.0
wind_frequency_coverage_pct,60.24
periods_with_known_surface,18396.0
known_surface_coverage_pct,37.72
matched_injury_accidents,5480.0
matched_serious_or_fatal_accidents,1194.0
matched_accidents_with_clean_wind_within_20km,5296.0
matched_accidents_excluded_from_wind_bins,184.0
matched_accident_wind_bin_coverage_pct,96.64
wind_bin_serious_or_fatal_accidents,1143.0
wind_bin_accidents_with_section_period_frequency,3531.0
wind_bin_serious_or_fatal_with_section_period_frequency,774.0
section_years_with_valid_derived_other_traffic,16016.0
section_years_with_nonpositive_derived_other_traffic,241.0
derived_other_traffic_coverage_pct,98.52
