station,name,lat,lon,start,ending
1,Reykjavík,64.1288833618,-21.9081897736,1920,
2,Sjómannaskóli,64.1330032349,-21.9500007629,1961,1963.0
4,Reykjavík S,64.1274719238,-21.9027690887,2015,2024.0
5,Sólland í Reykjavík,64.1169967651,-21.8999996185,1964,1972.0
6,Gróðrarstöðin í Reykjavík,64.1330032349,-21.8999996185,1923,1928.0
10,Víðistaðir,64.0670013428,-21.966999054,1933,1968.0
12,Straumsvík,64.0433731079,-22.0380001068,2002,2003.0
13,Hamranes,64.0329971313,-21.966999054,1978,1979.0
15,Vífilsstaðir,64.0830001831,-21.8829994202,1963,2000.0
20,Elliðaárstöð,64.1190032959,-21.8390007019,1922,2011.0
25,Rjúpnahæð,64.0852203369,-21.8437004089,1958,2008.0
30,Hólmur,64.0830001831,-21.716999054,1961,1983.0
35,Heiðmörk,64.0670013428,-21.7329998016,1957,2001.0
38,Svínahraun,64.0500030518,-21.5,1984,1990.0
40,Kolviðarhóll,64.0329971313,-21.3829994202,1964,1964.0
41,Hveradalir,64.016998291,-21.3999996185,1927,1933.0
46,Korpa,64.150970459,-21.752199173,1961,2016.0
51,Mosfell,64.1829986572,-21.6170005798,1975,1976.0
52,Varmaland í Mosfellsbæ,64.1829986572,-21.6170005798,1963,1964.0
68,Stíflisdalur,64.2515487671,-21.3118190765,1993,2004.0
70,Stardalur,64.212020874,-21.484079361,1963,2008.0
73,Mógilsá,64.2170028687,-21.7000007629,1967,1979.0
83,Meðalfell,64.3170013428,-21.6000003815,1969,1984.0
85,Neðri-Háls,64.3499984741,-21.6329994202,1990,1993.0
88,Stóri-Botn,64.3830032349,-21.2999992371,1947,1982.0
93,Grundartangi,64.3499984741,-21.783000946,1978,1992.0
94,Kirkjuból,64.3072509766,-21.9279003143,1996,
95,Akranes,64.3170013428,-22.0830001831,1965,1988.0
96,Leirá,64.4169998169,-21.8330001831,1940,1942.0
97,Neðra-Skarð,64.4277496338,-21.8069992065,1991,
103,Andakílsárvirkjun,64.5390014648,-21.6948795319,1949,2021.0
