model,bin_label,bin_lower_ms_old,observed_accidents_old,time_proportional_rate_ratio_old,time_proportional_ci_95_low_old,time_proportional_ci_95_high_old,time_proportional_p_value_old,model_accidents_old,model_strata_old,model_rows_old,analysis_traffic_period_old,analysis_outcome_old,analysis_binning_old,bin_lower_ms_fresh,observed_accidents_fresh,time_proportional_rate_ratio_fresh,time_proportional_ci_95_low_fresh,time_proportional_ci_95_high_fresh,time_proportional_p_value_fresh,model_accidents_fresh,model_strata_fresh,model_rows_fresh,analysis_traffic_period_fresh,analysis_outcome_fresh,analysis_binning_fresh,season,bin_lower_c_old,reference_bin_old,analysis_variable_old,bin_lower_c_fresh,reference_bin_fresh,analysis_variable_fresh
wind_rate,0-5,0.0,2424,1.0,,,,4933,3984,19828,all,all,standard,0.0,2539,1.0,,,,5125,4133,20403,all,all,standard,,,,,,,
wind_rate,5-10,5.0,1684,1.0905181919234272,1.02319810188994,1.1622675264148017,0.0076904733862059,4933,3984,19828,all,all,standard,5.0,1755,1.096280700737288,1.0299873242376725,1.166840937288771,0.0038726192514046,5125,4133,20403,all,all,standard,,,,,,,
wind_rate,10-15,10.0,578,1.1293459667165897,1.0276562648001883,1.2410981728282604,0.0115163352873692,4933,3984,19828,all,all,standard,10.0,584,1.1372033979200864,1.0355334588830616,1.248855415677138,0.0071306516473219,5125,4133,20403,all,all,standard,,,,,,,
wind_rate,15-20,15.0,184,1.625608825428904,1.3923435125377328,1.8979540821042364,7.83923282048485e-10,4933,3984,19828,all,all,standard,15.0,186,1.6742087023670322,1.435298376619982,1.95288646928055,5.376142912114839e-11,5125,4133,20403,all,all,standard,,,,,,,
wind_rate,20-25,20.0,45,2.274765569495458,1.6835718290528263,3.0735596229791926,8.680426354547273e-08,4933,3984,19828,all,all,standard,20.0,44,2.337554368304506,1.7246484049552573,3.1682749997505923,4.4268785203432424e-08,5125,4133,20403,all,all,standard,,,,,,,
wind_rate,>=25,25.0,18,4.948598206566393,3.068126489793382,7.981621452537068,5.5134928782664326e-11,4933,3984,19828,all,all,standard,25.0,17,5.15647794898112,3.151148397810695,8.437960223263937,6.675824033836113e-11,5125,4133,20403,all,all,standard,,,,,,,
wind_rate_one,0-10,0.0,2907,1.0,,,,3463,3006,8892,all,one,coarse,0.0,3042,1.0,,,,3602,3125,9229,all,one,coarse,,,,,,,
wind_rate_one,10-15,10.0,406,1.0596422455203427,0.9519925460512192,1.1794647900856392,0.2892033454256223,3463,3006,8892,all,one,coarse,10.0,411,1.0687044987916912,0.9608755074468728,1.188634008137364,0.2207665575630816,3602,3125,9229,all,one,coarse,,,,,,,
wind_rate_one,>=15,15.0,150,1.4177638157721657,1.193568199983293,1.6840715405629836,7.045650330518322e-05,3463,3006,8892,all,one,coarse,15.0,149,1.4533961372110429,1.223073870350912,1.7270913743369591,2.162201407909637e-05,3602,3125,9229,all,one,coarse,,,,,,,
wind_rate_multiple,0-10,0.0,1201,1.0,,,,1470,1297,3826,all,two-plus,coarse,0.0,1252,1.0,,,,1523,1344,3958,all,two-plus,coarse,,,,,,,
wind_rate_multiple,10-15,10.0,172,1.1120073929358216,0.9416010699739978,1.313253012741447,0.2109535340962633,1470,1297,3826,all,two-plus,coarse,10.0,173,1.1070183887925955,0.9380220310353032,1.3064615462947815,0.2289983463740127,1523,1344,3958,all,two-plus,coarse,,,,,,,
wind_rate_multiple,>=15,15.0,97,2.373727094363257,1.899262862419297,2.9667195784246805,3.0081164276560316e-14,1470,1297,3826,all,two-plus,coarse,15.0,98,2.396180831430613,1.9197722811377185,2.990814396753763,1.1040364707195571e-14,1523,1344,3958,all,two-plus,coarse,,,,,,,
wind_rate_severity,0-5,0.0,546,1.0,,,,1055,998,4977,all,serious-fatal,standard,0.0,552,1.0,,,,1088,1032,5099,all,serious-fatal,standard,,,,,,,
wind_rate_severity,5-10,5.0,339,0.9866222086200463,0.858644432262365,1.1336745991323938,0.8493101677719215,1055,998,4977,all,serious-fatal,standard,5.0,363,1.049650197340356,0.9164704323251264,1.202183396120506,0.483944809156847,1088,1032,5099,all,serious-fatal,standard,,,,,,,
wind_rate_severity,10-15,10.0,112,1.0325075997019049,0.8361530093327209,1.27497232150483,0.7662760355911076,1055,998,4977,all,serious-fatal,standard,10.0,117,1.1170492436251278,0.9081264611855612,1.374036619365177,0.2947535009953368,1088,1032,5099,all,serious-fatal,standard,,,,,,,
wind_rate_severity,15-20,15.0,45,1.922440860720388,1.4020688683719036,2.635946740090536,4.94079527967399e-05,1055,998,4977,all,serious-fatal,standard,15.0,45,2.037171814562073,1.4858868438306756,2.792991282799898,9.88416786074882e-06,1088,1032,5099,all,serious-fatal,standard,,,,,,,
wind_rate_severity,20-25,20.0,9,2.228393221215135,1.1373837268944509,4.365928781059822,0.0195374478177117,1055,998,4977,all,serious-fatal,standard,20.0,7,1.8849517230920856,0.8828255346115591,4.024626451194745,0.1014344713190866,1088,1032,5099,all,serious-fatal,standard,,,,,,,
wind_rate_severity,>=25,25.0,4,4.90585764109787,1.76418180941232,13.642266951349898,0.0023047114545682,1055,998,4977,all,serious-fatal,standard,25.0,4,5.5087553641006615,1.9701663643786425,15.402955917927551,0.0011436542728122,1088,1032,5099,all,serious-fatal,standard,,,,,,,
season_rate,0-10,0.0,1266,1.0,,,,1691,1242,3722,,injury,,0.0,1328,1.0,,,,1762,1289,3861,,injury,,Winter,,,,,,
season_rate,10-15,10.0,302,1.1873246254461605,1.0439152360446238,1.3504350904316178,0.008939628916236,1691,1242,3722,,injury,,10.0,311,1.2015329234677892,1.0580126117632205,1.3645218876654972,0.004671634853275,1762,1289,3861,,injury,,Winter,,,,,,
season_rate,>=15,15.0,123,1.4585522079169158,1.20101348390648,1.771316119032818,0.0001401985620393,1691,1242,3722,,injury,,15.0,123,1.461319433950515,1.2020770345988612,1.7764705809840748,0.000140582170919,1762,1289,3861,,injury,,Winter,,,,,,
season_rate,0-10,0.0,508,1.0,,,,612,566,1665,,injury,,0.0,540,1.0,,,,641,591,1725,,injury,,Spring,,,,,,
season_rate,10-15,10.0,70,1.1892694374771158,0.9207746616885046,1.5360563813990027,0.1842670875227052,612,566,1665,,injury,,10.0,68,1.1596920691879666,0.8956118483191686,1.501639016792229,0.2611232042654132,641,591,1725,,injury,,Spring,,,,,,
season_rate,>=15,15.0,34,2.9737203539522814,2.064296522952641,4.2837899716372085,4.867095352208809e-09,612,566,1665,,injury,,15.0,33,3.0408257285812503,2.1011442011512114,4.4007551250102175,3.706290551212042e-09,641,591,1725,,injury,,Spring,,,,,,
season_rate,0-10,0.0,1586,1.0,,,,1733,1469,4258,,injury,,0.0,1640,1.0,,,,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,10-15,10.0,103,0.9024090555797856,0.7353335246350708,1.107445908979248,0.3256063978262943,1733,1469,4258,,injury,,10.0,102,0.8925725784465218,0.7268082428508179,1.0961430551059357,0.2782733900564125,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,>=15,15.0,44,2.2021907847267164,1.6102859205184452,3.0116665559454723,7.700829595975918e-07,1733,1469,4258,,injury,,15.0,44,2.302218265689026,1.6841100364996255,3.147186839340095,1.7164721746188764e-07,1786,1518,4388,,injury,,Summer,,,,,,
season_rate,0-10,0.0,748,1.0,,,,897,803,2384,,injury,,0.0,786,1.0,,,,936,834,2470,,injury,,Fall,,,,,,
season_rate,10-15,10.0,103,0.9256503483720986,0.7498684121343695,1.1426385664153722,0.4721300088253791,897,803,2384,,injury,,10.0,103,0.9382753207560168,0.7604084499665595,1.1577469681965291,0.5524438759608412,936,834,2470,,injury,,Fall,,,,,,
season_rate,>=15,15.0,46,1.385119252584531,1.0158356575553746,1.888647370872337,0.0394678077436128,897,803,2384,,injury,,15.0,47,1.522352330381708,1.1194804341852702,2.070207345343446,0.0073709952972653,936,834,2470,,injury,,Fall,,,,,,
season_rate_severity,0-10,0.0,247,1.0,,,,316,292,874,,serious-fatal,,0.0,255,1.0,,,,324,300,898,,serious-fatal,,Winter,,,,,,
season_rate_severity,10-15,10.0,44,0.9586826328021272,0.6918380365829254,1.3284502178802304,0.7998646159706311,316,292,874,,serious-fatal,,10.0,45,0.9929203543573846,0.719049443342973,1.3711029738283838,0.9655824085146596,324,300,898,,serious-fatal,,Winter,,,,,,
