file,matching_lines,classification
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/accident_conditions.csv,97,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/accidents.csv,46,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/annual_traffic.csv,113,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/case_control.csv,219,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/counter_locations.csv,18,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/counter_sections.csv,25,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/counter_wind.csv,10,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/daily_season_panel.csv,11,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/daily_traffic.csv,7039,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/daily_vkt.csv,2,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/road_rate.csv,76,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/road_seasons.csv,71,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/road_temperature.csv,113,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/temperature_frequency.csv,461,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/temperature_matches.csv,32,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/weather_frequency.csv,75,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/analysis/weather_yearly.csv,770,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/processed/accidents/rate.csv,110,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/processed/traffic/road_period.csv,4138,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/data/processed/weather/road_period_frequency.csv,231,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/docs/annual_traffic_provenance.md,14,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/docs/annual_traffic_provenance/wind_rate_comparison.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/docs/methods.md,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/docs/pipeline_summary.md,7,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/allocation_check.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/daily_map.csv,13,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/day_rate.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/matched_weather.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/traffic_checks.csv,2,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/validation.md,4,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/main/tables/wind_rate.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/content.tex,6,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/content.tex.bak_2026-09-11,11,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/content_before_polish.tex,11,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/content_before_primary12.tex,11,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/draft_en.log,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/draft_en.tex.bak_2026-09-11,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/allocation_check.tex,3,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/coverage.tex,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/estimated_rate.tex,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/evidence.tex,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/traffic_methods.tex,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/traffic_quality.tex,2,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/thesis/generated/traffic_scope.tex,3,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/conditional_poisson_rate_ratio_sdu.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/daily_highwind_season_interaction.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/daily_season_interaction.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/daily_season_rate.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/daily_traffic_adu_validation.csv,12,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/daily_traffic_wind_detailed.csv,2,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/mean_wind_subgroups.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/oe_scenarios.csv,8,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/oe_scenarios_new_weather.csv,6,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/oe_station_bins.csv,582,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/oe_station_bins_new_weather.csv,530,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/rate_ratio_summer_sdu.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/road_wind_full.csv,2386,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/season_method_comparison.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/temp_bad_periods.csv,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/files/reports/working/tables/temperature_extremes.csv,197,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/old_annual_sample_ids.csv,110,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/old_headlines.json,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/regeneration/finalize_annual_evidence.py,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/regeneration/scan_annual_stale.py,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/regeneration/src_tables_season_method_comparison.log,1,Historical archive or dated correction evidence
archive/annual_provenance_correction_20260913T181844Z/regeneration/update_annual_prose.py,8,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_main_old/traffic_period_scope_comparison.csv,2,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/mechanism_severity/mechanism_oe_results.csv,4,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/mechanism_severity/mechanism_runoff_vs_other_contrast.csv,1,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/oe/bootstrap_notes.txt,1,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/oe/calculation_notes.txt,1,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/road_section_wind_traffic_adjusted_rates.csv,1,Historical archive or dated correction evidence
archive/cleanup_2026-07-28/reports_supporting_old/road_section_wind_traffic_adjusted_rates_sdu_vdu.csv,1,Historical archive or dated correction evidence
archive/cleanup_2026-08-26/data_analysis_previous/oe_station_bins.csv,534,Historical archive or dated correction evidence
archive/cleanup_2026-08-26/data_analysis_previous/rural_injury_base.csv,46,Historical archive or dated correction evidence
archive/cleanup_2026-08-26/data_analysis_previous/stations.csv,3,Historical archive or dated correction evidence
archive/data_legacy_2026-07-22/external/vegagerdin_pdf_2019_2024_daily_traffic_total.csv,8,Historical archive or dated correction evidence
archive/data_legacy_2026-07-22/processed/wind_frequency_readable.csv,1809,Historical archive or dated correction evidence
archive/data_legacy_2026-07-22/supporting_diagnostics/accident_weather_traffic_exact.csv,26,Historical archive or dated correction evidence
archive/data_legacy_2026-07-22/supporting_diagnostics/daily_counter_location_audit.csv,1,Historical archive or dated correction evidence
archive/generated_diagnostics/accidents_urban_rural.csv,154,Historical archive or dated correction evidence
archive/generated_diagnostics/daily_traffic_adu_validation.csv,12,Historical archive or dated correction evidence
archive/generated_diagnostics/daily_traffic_channels_2019_2024.csv,59,Historical archive or dated correction evidence
archive/generated_diagnostics/daily_traffic_total_2019_2024.csv,8,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/accident_conditions_new_weather.csv,97,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/accidents_new_weather.csv,46,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/temperature_frequency_new.csv,461,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/weather_frequency_new.csv,75,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/weather_frequency_traffic_new.csv,309,Historical archive or dated correction evidence
archive/generated_diagnostics/obsolete_weather_analysis/weather_yearly_new.csv,1130,Historical archive or dated correction evidence
archive/generated_diagnostics/oe/detailed_results.csv,2,Historical archive or dated correction evidence
archive/generated_diagnostics/road_wind_accident_rows.csv,228,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_pdf_2024_daily_long.csv,9,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_pdf_2024_daily_total.csv,1,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_pdf_2024_repeated_2007_2024.csv,18,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_rates.csv,1,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_rates_sdu_vdu.csv,1,Historical archive or dated correction evidence
archive/generated_diagnostics/traffic_scope.csv,2,Historical archive or dated correction evidence
archive/generated_diagnostics/urban_rural_notes.txt,1,Historical archive or dated correction evidence
archive/generated_diagnostics/weather_station_year_coverage.csv,1,Historical archive or dated correction evidence
archive/generated_diagnostics/wind_frequency_readable.csv,1330,Historical archive or dated correction evidence
archive/legacy_outputs/2026-07-29_renamed_traffic/daily_counter_traffic_2019_2024.csv,11408,Historical archive or dated correction evidence
archive/private_notes/tegohapps_full_audit.csv,1,Historical archive or dated correction evidence
archive/private_notes/temperature_station_coverage.csv,1,Historical archive or dated correction evidence
data/analysis/accident_conditions.csv,97,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/accidents.csv,46,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/annual_traffic.csv,113,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/case_control.csv,219,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/counter_locations.csv,18,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/counter_sections.csv,25,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/counter_wind.csv,10,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/daily_season_panel.csv,11,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/daily_traffic.csv,7039,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/daily_vkt.csv,2,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/road_rate.csv,74,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/road_seasons.csv,74,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/road_temperature.csv,110,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/temperature_frequency.csv,461,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/temperature_matches.csv,32,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/weather_frequency.csv,75,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/analysis/weather_yearly.csv,770,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/accidents-near-counter.csv,14,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/all.csv,160,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/case_control.csv,219,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/rate.csv,128,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/rural_injury.csv,123,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/rural_injury_new.csv,123,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/accidents/rural_injury_new_weather.csv,123,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/accident_wind.csv,10,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/annual.csv,314,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/counter_accidents.csv,11,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/counter_sections.csv,25,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/daily.csv,6243,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/daily_raw.csv,366,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
data/processed/traffic/daily_vkt.csv,2,"Measurement, coordinate, frequency, or exposure numeric substring; not an annual headline or sample total"
