bin_label,bin_lower_ms_old,observed_accidents_old,time_proportional_rate_ratio_old,time_proportional_ci_95_low_old,time_proportional_ci_95_high_old,time_proportional_p_value_old,model_accidents_old,model_strata_old,model_rows_old,season,analysis_outcome_old,bin_lower_ms_fresh,observed_accidents_fresh,time_proportional_rate_ratio_fresh,time_proportional_ci_95_low_fresh,time_proportional_ci_95_high_fresh,time_proportional_p_value_fresh,model_accidents_fresh,model_strata_fresh,model_rows_fresh,analysis_outcome_fresh
0-10,0.0,748,1.0,,,,897,803,2384,Fall,injury,0.0,786,1.0,,,,936,834,2470,injury
10-15,10.0,103,0.9256503483720986,0.7498684121343695,1.1426385664153722,0.4721300088253791,897,803,2384,Fall,injury,10.0,103,0.9382753207560168,0.7604084499665595,1.1577469681965291,0.5524438759608412,936,834,2470,injury
>=15,15.0,46,1.385119252584531,1.0158356575553746,1.888647370872337,0.0394678077436128,897,803,2384,Fall,injury,15.0,47,1.522352330381708,1.1194804341852702,2.070207345343446,0.0073709952972653,936,834,2470,injury
0-10,0.0,508,1.0,,,,612,566,1665,Spring,injury,0.0,540,1.0,,,,641,591,1725,injury
10-15,10.0,70,1.1892694374771158,0.9207746616885046,1.5360563813990027,0.1842670875227052,612,566,1665,Spring,injury,10.0,68,1.1596920691879666,0.8956118483191686,1.501639016792229,0.2611232042654132,641,591,1725,injury
>=15,15.0,34,2.9737203539522814,2.064296522952641,4.2837899716372085,4.867095352208809e-09,612,566,1665,Spring,injury,15.0,33,3.0408257285812503,2.1011442011512114,4.4007551250102175,3.706290551212042e-09,641,591,1725,injury
0-10,0.0,1586,1.0,,,,1733,1469,4258,Summer,injury,0.0,1640,1.0,,,,1786,1518,4388,injury
10-15,10.0,103,0.9024090555797856,0.7353335246350708,1.107445908979248,0.3256063978262943,1733,1469,4258,Summer,injury,10.0,102,0.8925725784465218,0.7268082428508179,1.0961430551059357,0.2782733900564125,1786,1518,4388,injury
>=15,15.0,44,2.2021907847267164,1.6102859205184452,3.0116665559454723,7.700829595975918e-07,1733,1469,4258,Summer,injury,15.0,44,2.302218265689026,1.6841100364996255,3.147186839340095,1.7164721746188764e-07,1786,1518,4388,injury
0-10,0.0,1266,1.0,,,,1691,1242,3722,Winter,injury,0.0,1328,1.0,,,,1762,1289,3861,injury
10-15,10.0,302,1.1873246254461605,1.0439152360446238,1.3504350904316178,0.008939628916236,1691,1242,3722,Winter,injury,10.0,311,1.2015329234677892,1.0580126117632205,1.3645218876654972,0.004671634853275,1762,1289,3861,injury
>=15,15.0,123,1.4585522079169158,1.20101348390648,1.771316119032818,0.0001401985620393,1691,1242,3722,Winter,injury,15.0,123,1.461319433950515,1.2020770345988612,1.7764705809840748,0.000140582170919,1762,1289,3861,injury
