bin_label,bin_lower_ms_old,observed_accidents_old,time_proportional_rate_ratio_old,time_proportional_ci_95_low_old,time_proportional_ci_95_high_old,time_proportional_p_value_old,model_accidents_old,model_strata_old,model_rows_old,season,analysis_outcome_old,bin_lower_ms_fresh,observed_accidents_fresh,time_proportional_rate_ratio_fresh,time_proportional_ci_95_low_fresh,time_proportional_ci_95_high_fresh,time_proportional_p_value_fresh,model_accidents_fresh,model_strata_fresh,model_rows_fresh,analysis_outcome_fresh
0-10,0.0,139,1.0,,,,168,162,483,Fall,serious-fatal,0.0,141,1.0,,,,171,165,491,serious-fatal
10-15,10.0,17,0.8155068963985003,0.4880398193020678,1.3626992547956145,0.4362356117053484,168,162,483,Fall,serious-fatal,10.0,19,0.9431708203176914,0.5779898713126925,1.539077482929608,0.8148492703549838,171,165,491,serious-fatal
>=15,15.0,12,1.8997494313993264,1.0186546248027055,3.542955398451236,0.0435820338096669,168,162,483,Fall,serious-fatal,15.0,11,1.8816618996960857,0.9841060239639164,3.59783541462978,0.0559380980302254,171,165,491,serious-fatal
0-10,0.0,110,1.0,,,,138,137,406,Spring,serious-fatal,0.0,115,1.0,,,,144,142,418,serious-fatal
10-15,10.0,22,1.480203334765647,0.924668627058332,2.3694995678847928,0.1023205626653068,138,137,406,Spring,serious-fatal,10.0,23,1.5961395571710633,1.005279023838778,2.534282945880725,0.047447359692258,144,142,418,serious-fatal
>=15,15.0,6,1.953360247767279,0.8305058279414774,4.594328094018284,0.1249406053540317,138,137,406,Spring,serious-fatal,15.0,6,2.140550001927689,0.9082299254568408,5.044927702033052,0.0818758160402592,144,142,418,serious-fatal
0-10,0.0,389,1.0,,,,433,415,1202,Summer,serious-fatal,0.0,404,1.0,,,,449,431,1247,serious-fatal
10-15,10.0,29,1.0476231076403475,0.7128857493257179,1.539537263439621,0.8127573438324615,433,415,1202,Summer,serious-fatal,10.0,30,1.0583339357997057,0.7250346342688223,1.5448513308538094,0.7689158783537574,449,431,1247,serious-fatal
>=15,15.0,15,3.0007501137918253,1.7566867474022247,5.125843442911743,5.760552591316327e-05,433,415,1202,Summer,serious-fatal,15.0,15,3.1056495322593745,1.8196732353298035,5.300434621974735,3.2540849275089677e-05,449,431,1247,serious-fatal
0-10,0.0,247,1.0,,,,316,292,874,Winter,serious-fatal,0.0,255,1.0,,,,324,300,898,serious-fatal
10-15,10.0,44,0.9586826328021272,0.6918380365829254,1.3284502178802304,0.7998646159706311,316,292,874,Winter,serious-fatal,10.0,45,0.9929203543573846,0.719049443342973,1.3711029738283838,0.9655824085146596,324,300,898,serious-fatal
>=15,15.0,25,1.734897787691846,1.1317870234062597,2.659396398343098,0.0114712593407598,316,292,874,Winter,serious-fatal,15.0,24,1.6816590292417846,1.0888136186309394,2.597301358322726,0.0190977951960959,324,300,898,serious-fatal
