dimension,category,count,percent
accident_family,"Single vehicle: run-off-road, rollover, fall, or other",4348,67.78921110071718
accident_family,"Opposing, overtaking, or reversing vehicles",555,8.652946679139383
accident_family,"Same direction: overtaking, lane change, or rear-end",503,7.842220143436233
accident_family,"Animals, fixed objects, and other events",393,6.127221702525725
accident_family,"Junctions, roundabouts, and priority",185,2.8843155597131274
accident_family,Turning and changes in direction,180,2.8063610851262863
accident_family,Bicycles,124,1.9332709697536639
accident_family,Pedestrians and horse riders,98,1.5279077019020892
accident_family,Stopped or parked vehicles,27,0.42095416276894293
accident_family,Unclassified,1,0.015590894917368257
vehicle_count,1 vehicle,4659,72.63797942001871
vehicle_count,2 vehicles,1363,21.250389772372934
vehicle_count,3 or more,392,6.111630807608357
accident_family_by_severity,"Animals, fixed objects, and other events | Fatal or serious",58,3.9428959891230457
accident_family_by_severity,"Animals, fixed objects, and other events | Minor injury",335,6.777260772810035
accident_family_by_severity,Bicycles | Fatal or serious,51,3.4670292318150917
accident_family_by_severity,Bicycles | Minor injury,73,1.4768359295974105
accident_family_by_severity,"Junctions, roundabouts, and priority | Fatal or serious",44,2.991162474507138
accident_family_by_severity,"Junctions, roundabouts, and priority | Minor injury",141,2.8525187133319845
accident_family_by_severity,"Opposing, overtaking, or reversing vehicles | Fatal or serious",218,14.819850441876275
accident_family_by_severity,"Opposing, overtaking, or reversing vehicles | Minor injury",337,6.817722031155169
accident_family_by_severity,Pedestrians and horse riders | Fatal or serious,42,2.855200543847723
accident_family_by_severity,Pedestrians and horse riders | Minor injury,56,1.132915233663767
accident_family_by_severity,"Same direction: overtaking, lane change, or rear-end | Fatal or serious",100,6.798096532970768
accident_family_by_severity,"Same direction: overtaking, lane change, or rear-end | Minor injury",403,8.152943556544608
accident_family_by_severity,"Single vehicle: run-off-road, rollover, fall, or other | Fatal or serious",911,61.9306594153637
accident_family_by_severity,"Single vehicle: run-off-road, rollover, fall, or other | Minor injury",3437,69.5326724661137
accident_family_by_severity,Stopped or parked vehicles | Fatal or serious,7,0.47586675730795375
accident_family_by_severity,Stopped or parked vehicles | Minor injury,20,0.4046125834513453
accident_family_by_severity,Turning and changes in direction | Fatal or serious,39,2.6512576478585994
accident_family_by_severity,Turning and changes in direction | Minor injury,141,2.8525187133319845
accident_family_by_severity,Unclassified | Fatal or serious,1,0.06798096532970768
