dimension,category,accidents,available_accidents,percent_of_available
hour,0,118,6414,1.8397256002494544
hour,1,120,6414,1.8709073900841908
hour,2,82,6414,1.278453383224197
hour,3,54,6414,0.8419083255378859
hour,4,77,6414,1.2004989086373559
hour,5,71,6414,1.1069535391331462
hour,6,89,6414,1.387589647645775
hour,7,233,6414,3.632678515746804
hour,8,219,6414,3.414405986903648
hour,9,252,6414,3.9289055191768005
hour,10,268,6414,4.178359837854693
hour,11,385,6414,6.002494543186779
hour,12,363,6414,5.659494855004677
hour,13,449,6414,7.000311817898347
hour,14,499,6414,7.77985656376676
hour,15,528,6414,8.23199251637044
hour,16,538,6414,8.387901465544122
hour,17,475,6414,7.405675085749922
hour,18,402,6414,6.267539756782039
hour,19,338,6414,5.2697224820704704
hour,20,267,6414,4.1627689429373245
hour,21,217,6414,3.3832241970689116
hour,22,189,6414,2.9466791393826006
hour,23,181,6414,2.8219519800436546
season,Winter,2083,6414,32.47583411287808
season,Spring,816,6414,12.722170252572498
season,Summer,2387,6414,37.21546616775803
season,Fall,1128,6414,17.586529466791394
traffic_period,VDU,2083,6414,32.47583411287808
traffic_period,SDU,2387,6414,37.21546616775803
traffic_period,VHDU,1944,6414,30.30869971936389
daylight_class,Darkness,1477,6414,23.027751792952916
daylight_class,Civil twilight,674,6414,10.508263174306204
daylight_class,Daylight,4263,6414,66.46398503274088
temperature_interval_c,<-9,44,5707,0.7709830033292447
temperature_interval_c,-9--6,161,5707,2.8210968985456457
temperature_interval_c,-6--3,412,5707,7.219204485719292
temperature_interval_c,-3-0,839,5707,14.701244086209918
temperature_interval_c,0-3,1131,5707,19.81776765375854
temperature_interval_c,3-6,710,5707,12.44086209917645
temperature_interval_c,6-9,858,5707,15.034168564920273
temperature_interval_c,9-12,814,5707,14.263185561591028
temperature_interval_c,12-15,495,5707,8.673558787454004
temperature_interval_c,15-18,192,5707,3.3642894690730683
temperature_interval_c,>=18,51,5707,0.8936393902225337
