dimension,category,accidents,serious_or_fatal,minor_injury,serious_or_fatal_pct,available_accidents,percent_of_available
hour,0,118,20,98,16.949152542372882,6414,1.8397256002494544
hour,1,120,22,98,18.333333333333332,6414,1.8709073900841908
hour,2,82,20,62,24.390243902439025,6414,1.278453383224197
hour,3,54,11,43,20.37037037037037,6414,0.8419083255378859
hour,4,77,20,57,25.974025974025974,6414,1.2004989086373559
hour,5,71,17,54,23.943661971830984,6414,1.1069535391331462
hour,6,89,17,72,19.10112359550562,6414,1.387589647645775
hour,7,233,35,198,15.021459227467812,6414,3.632678515746804
hour,8,219,36,183,16.438356164383563,6414,3.414405986903648
hour,9,252,46,206,18.253968253968253,6414,3.9289055191768005
hour,10,268,68,200,25.37313432835821,6414,4.178359837854693
hour,11,385,101,284,26.233766233766232,6414,6.002494543186779
hour,12,363,90,273,24.793388429752067,6414,5.659494855004677
hour,13,449,103,346,22.93986636971047,6414,7.000311817898347
hour,14,499,122,377,24.448897795591183,6414,7.77985656376676
hour,15,528,150,378,28.40909090909091,6414,8.23199251637044
hour,16,538,138,400,25.650557620817843,6414,8.387901465544122
hour,17,475,118,357,24.842105263157894,6414,7.405675085749922
hour,18,402,85,317,21.144278606965173,6414,6.267539756782039
hour,19,338,88,250,26.035502958579883,6414,5.2697224820704704
hour,20,267,68,199,25.46816479400749,6414,4.1627689429373245
hour,21,217,39,178,17.972350230414747,6414,3.3832241970689116
hour,22,189,35,154,18.51851851851852,6414,2.9466791393826006
hour,23,181,22,159,12.154696132596685,6414,2.8219519800436546
season,Winter,2083,384,1699,18.43494959193471,6414,32.47583411287808
season,Spring,816,202,614,24.754901960784313,6414,12.722170252572498
season,Summer,2387,670,1717,28.068705488060328,6414,37.21546616775803
season,Fall,1128,215,913,19.06028368794326,6414,17.586529466791394
traffic_period,VDU,2083,384,1699,18.43494959193471,6414,32.47583411287808
traffic_period,SDU,2387,670,1717,28.068705488060328,6414,37.21546616775803
traffic_period,VHDU,1944,417,1527,21.450617283950617,6414,30.30869971936389
daylight_class,Darkness,1477,247,1230,16.723087339201083,6414,23.027751792952916
daylight_class,Civil twilight,674,149,525,22.106824925816024,6414,10.508263174306204
daylight_class,Daylight,4263,1075,3188,25.216983345062165,6414,66.46398503274088
temperature_interval_c,<-9,44,13,31,29.545454545454547,5707,0.7709830033292447
temperature_interval_c,-9--6,161,29,132,18.012422360248447,5707,2.8210968985456457
temperature_interval_c,-6--3,412,69,343,16.74757281553398,5707,7.219204485719292
temperature_interval_c,-3-0,839,131,708,15.613825983313468,5707,14.701244086209918
temperature_interval_c,0-3,1131,231,900,20.424403183023873,5707,19.81776765375854
temperature_interval_c,3-6,710,154,556,21.690140845070424,5707,12.44086209917645
temperature_interval_c,6-9,858,221,637,25.757575757575758,5707,15.034168564920273
temperature_interval_c,9-12,814,229,585,28.132678132678134,5707,14.263185561591028
temperature_interval_c,12-15,495,147,348,29.696969696969695,5707,8.673558787454004
temperature_interval_c,15-18,192,56,136,29.166666666666668,5707,3.3642894690730683
temperature_interval_c,>=18,51,10,41,19.607843137254903,5707,0.8936393902225337
