point_type,group,id,lon,lat
Accident,No exact counter link,5830198,-18.036943629545068,63.78702788733735
Accident,No exact counter link,5830706,-16.06805842386129,64.12556718169851
Accident,No exact counter link,5832224,-22.664969868787807,66.01856843592253
Accident,Allocated-rate sample,5832861,-21.263694704720464,64.0140650919971
Accident,"Exact link, not retained",5835322,-20.28742326587536,64.31303498965882
Accident,Allocated-rate sample,5835385,-20.96855356596253,64.0439413839854
Accident,"Exact link, not retained",5836803,-21.962007719663717,64.4605367691935
Accident,Allocated-rate sample,5836918,-22.42028533061439,63.9610006507315
Accident,No exact counter link,5840588,-20.831906803169463,64.05657317318921
Accident,Allocated-rate sample,5840631,-21.82972426096936,64.24760905805957
Accident,No exact counter link,5840704,-21.746164709950015,64.1543368480348
Accident,No exact counter link,5843271,-22.379099520420496,63.856349578882806
Accident,Allocated-rate sample,5843285,-21.94441254755928,64.31029822697644
Accident,No exact counter link,5843391,-17.370499369612986,63.940389304606
Accident,No exact counter link,5844001,-20.871442026949044,64.04805211256583
Accident,Allocated-rate sample,5844565,-17.54079570223693,65.68657666906499
Accident,"Exact link, not retained",5847537,-20.265608401801003,64.31381834224777
Accident,"Exact link, not retained",5847902,-21.956401989413223,64.42840278538826
Accident,No exact counter link,5848810,-17.07705166110099,63.97430820119293
Accident,No exact counter link,5849371,-21.677842345893573,64.19740114022875
Accident,"Exact link, not retained",5849718,-21.94012676100511,64.42063116221557
Accident,"Exact link, not retained",5850453,-20.35729626940728,64.27330858768688
Accident,Allocated-rate sample,5851622,-22.42101796580787,63.89364753735325
Accident,No exact counter link,5852539,-22.885096665300555,64.83532481587602
Accident,Allocated-rate sample,5852821,-17.88123530825177,65.74508692285002
Accident,No exact counter link,5853372,-20.43625012435242,64.0397986216465
Accident,"Exact link, not retained",5853592,-21.899625148713344,64.40032027252951
Accident,No exact counter link,5853973,-20.42508889951353,64.09779808682775
Accident,Allocated-rate sample,5854230,-21.55197819706213,64.94641922678282
Accident,Allocated-rate sample,5856077,-21.54150768662003,64.05982798653929
Accident,Allocated-rate sample,5856054,-21.899152318995274,64.31250886074179
Accident,Allocated-rate sample,5858458,-18.690546100208756,63.446739952563945
Accident,No exact counter link,5859041,-22.590572329492893,64.01660023956694
Accident,Allocated-rate sample,5859505,-21.745258435688083,64.20577405223445
Accident,Allocated-rate sample,5859990,-21.93203769267524,64.56391520032251
Accident,No exact counter link,5860426,-21.061872912125672,64.9379394810599
Accident,Allocated-rate sample,5861290,-17.502968350675737,65.697596231297
Accident,Allocated-rate sample,5861938,-21.587574150914964,64.0669630213126
Accident,No exact counter link,5862877,-18.373053890044485,63.68080224757267
Accident,No exact counter link,5863137,-18.76046858977259,65.86170160631512
Accident,Allocated-rate sample,29246,-21.738359314767596,64.15258130303963
Accident,No exact counter link,5865904,-22.806648817908833,65.9202884433667
Accident,No exact counter link,5871198,-21.18688540186671,64.89887312015469
Accident,Allocated-rate sample,5871551,-22.943242193390574,66.0396794757695
Accident,No exact counter link,5872877,-22.51116194804861,63.866574276905645
Accident,Allocated-rate sample,5875743,-20.71016118176996,63.95273197932885
Accident,Allocated-rate sample,5879337,-22.651128755636982,64.02587679090355
Accident,Allocated-rate sample,5882904,-21.346883511642663,63.89058881580396
Accident,No exact counter link,5883211,-21.455871352671178,64.03920168526366
Accident,Allocated-rate sample,5883817,-21.09783554517948,65.04808928830221
Accident,No exact counter link,5885313,-21.11037402979922,63.86049265440472
Accident,No exact counter link,5885630,-20.549279955362582,63.891784863719714
