season,wind_bin,observed_accidents,traffic_expected_accidents,allocated_vehicles,contributing_strata,counters,counter_days,traffic_standardised_oe,fewer_than_10_accidents,fewer_than_20_accidents
Winter,0-5,125,126.27201071369112,33229534.426140193,228,138,22959,0.9899264238646261,False,False
Winter,5-10,78,101.91801889561495,26097801.941239998,228,138,24162,0.7653209986340891,False,False
Winter,10-15,59,45.13415156679778,10491433.263269657,228,138,16526,1.307214115073837,False,False
Winter,15-20,21,10.765558668565754,2253592.8591415063,225,137,6973,1.9506651393129915,False,False
Winter,20-25,2,1.6990229447256047,320847.85930279805,202,125,2017,1.1771471398951612,True,True
Winter,>=25,1,0.21123721060479234,36261.65090584875,123,87,422,4.7340144150592804,True,True
Spring,0-5,52,62.56394736431097,13567852.154920654,104,76,5751,0.831149602776869,False,False
Spring,5-10,42,41.909745303045305,7977650.9352041725,104,76,5586,1.0021535491638538,False,False
Spring,10-15,13,10.688277693709443,1815048.7674148546,103,76,2415,1.2162857639497069,False,True
Spring,15-20,6,1.6256501700213482,226396.61805555556,94,71,659,3.690830973752002,True,True
Spring,20-25,1,0.18867062634937565,28835.760515873015,50,40,123,5.3002421169060225,True,True
Spring,>=25,3,0.023708842563556477,3974.763888888889,14,12,16,126.53506774773491,True,True
Summer,0-5,132,134.2392848103539,50678422.12659272,193,126,21889,0.9833187072359821,False,False
Summer,5-10,68,68.67597911860483,24897656.184179157,193,126,19989,0.9901569787969473,False,False
Summer,10-15,11,13.417661863961762,4608766.848322655,193,126,7031,0.8198149656420161,False,True
Summer,15-20,5,1.5287453122270043,444622.8221603231,171,116,1478,3.270655981745079,True,True
Summer,20-25,1,0.12384110543178717,30921.067356254858,104,76,248,8.074863321942885,True,True
Summer,>=25,1,0.014487789420715155,2388.9513888888887,25,20,40,69.02364266629694,True,True
Fall,0-5,79,77.53717013046658,11266085.939374456,126,98,6886,1.0188661756299853,False,False
Fall,5-10,36,44.02939508938029,6862849.267180682,126,98,6458,0.8176355802054399,False,False
Fall,10-15,20,15.67081265224737,2443204.716540376,126,98,3471,1.2762579991109635,False,False
Fall,15-20,4,3.241600957772739,499844.615184462,121,97,1254,1.2339581744041521,True,True
Fall,20-25,2,0.4765575253810163,53750.19243269024,81,64,291,4.196765119595927,True,True
Fall,>=25,0,0.044463644752014364,3329.269287333305,22,18,43,0.0,True,True
