season,wind_bin,observed_accidents,traffic_expected_accidents,allocated_vehicles,contributing_strata,counters,traffic_standardised_oe,ci_95_low,ci_95_high,bootstrap_valid_replicates,accidents_in_season,bootstrap_replicates,bootstrap_cluster,analysis_period,exposure_method,standardisation
Winter,0-10,203,228.19002960930607,59327336.367380194,228,138,0.8896094204797861,0.8286305776065352,0.9549603764925516,5000,286,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Winter,10-15,59,45.13415156679778,10491433.263269657,228,138,1.307214115073837,1.0151568292917148,1.5888454727841375,5000,286,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Winter,>=15,24,12.675818823896151,2610702.369350153,225,137,1.893368809812568,1.2219264242407828,2.6102852269720875,5000,286,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Spring,0-10,94,104.47369266735627,21545503.090124827,104,76,0.8997480379993416,0.8167410749160015,0.9798655252796209,5000,117,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Spring,10-15,13,10.688277693709443,1815048.7674148546,103,76,1.2162857639497069,0.5965002057637308,1.8444539856793691,5000,117,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Spring,>=15,10,1.8380296389342803,259207.14246031747,94,71,5.44060867581992,2.645724525490893,8.640058903845748,5000,117,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Summer,0-10,200,202.91526392895872,75576078.31077188,193,126,0.9856330969267084,0.9396005077484644,1.0254094341343003,5000,218,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Summer,10-15,11,13.417661863961762,4608766.848322655,193,126,0.8198149656420161,0.34746158623592843,1.371869969354072,5000,218,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Summer,>=15,7,1.6670742070795064,477932.8409054668,171,116,4.198973249225105,1.383955864274002,7.672351439666651,5000,218,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Fall,0-10,115,121.56656521984686,18128935.20655514,126,98,0.9459837891448889,0.8636568288981296,1.0250510559981396,5000,141,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Fall,10-15,20,15.67081265224737,2443204.716540376,126,98,1.2762579991109635,0.7010882352594888,1.8917667406372185,5000,141,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
Fall,>=15,6,3.7626221279057694,556924.0769044855,121,97,1.5946326248125076,0.5537563205858572,2.769507208038095,5000,141,5000,counter,2019-2024,observed daily traffic allocated by full-day wind frequency,expected accidents proportional to exposure within counter-year-season
