wind_gust_interval_ms,bin_lower_ms,bin_upper_ms,measurement_count,stations_contributing,first_year,last_year,frequency_pct
0-3,0.0,3.0,38280075,331,2007,2025,18.0995
3-6,3.0,6.0,50847459,332,2007,2025,24.0416
6-9,6.0,9.0,42366001,331,2007,2025,20.0314
9-12,9.0,12.0,31646835,332,2007,2025,14.9632
12-15,12.0,15.0,20911301,332,2007,2025,9.8872
15-18,15.0,18.0,12465734,333,2007,2025,5.894
18-21,18.0,21.0,7247279,330,2007,2025,3.4266
21-24,21.0,24.0,3844059,328,2007,2025,1.8175
24-27,24.0,27.0,2007454,328,2007,2025,0.9492
27-30,27.0,30.0,988994,324,2007,2025,0.4676
30-33,30.0,33.0,462057,320,2007,2025,0.2185
33-36,33.0,36.0,224364,315,2007,2025,0.1061
>=36,36.0,inf,206285,296,2007,2025,0.0975
