maximum_gust_interval_ms,observed_accidents,expected_accidents,observed_expected_ratio,station_bootstrap_ci_95_low,station_bootstrap_ci_95_high,bootstrap_probability_above_1,sparse_bin_fewer_than_20_accidents
0-3,942,1129.4,0.83,0.78,0.89,0.0,False
3-6,1526,1543.8,0.99,0.95,1.03,0.2996,False
6-9,1328,1263.3,1.05,0.99,1.11,0.9552,False
9-12,947,923.0,1.03,0.97,1.09,0.7934,False
12-15,572,600.8,0.95,0.87,1.04,0.137,False
15-18,361,349.4,1.03,0.92,1.16,0.6968,False
18-21,215,193.2,1.11,0.97,1.25,0.943,False
21-24,135,97.3,1.39,1.11,1.68,0.9968,False
24-27,65,49.3,1.32,1.02,1.65,0.9822,False
27-30,33,22.9,1.44,0.97,1.92,0.9674,False
30-33,28,10.4,2.7,1.78,3.77,1.0,False
33-36,15,4.9,3.07,1.29,4.98,0.9904,True
>=36,25,4.2,5.99,3.62,8.8,1.0,False
