cell,observed_accidents,expected_accidents,wind_order,temperature_order,wind_bin,temperature_bin,oe,sample_percent,sparse
0,116,167.35899606449252,0,0,0-5,<-6,0.6931207925942559,1.8533312030675826,False
1,176,226.59412143909384,0,1,0-5,-6--3,0.7767191791306333,2.8119507908611596,False
2,418,386.86609647197406,0,2,0-5,-3-0,1.0804772085534287,6.6783831282952555,False
3,578,556.0412252379348,0,3,0-5,0-3,1.0394912710881623,9.234702029078127,False
4,423,560.8920181706823,0,4,0-5,3-6,0.7541558558447501,6.75826809394472,False
5,466,603.7284540992823,0,5,0-5,6-9,0.7718701956747047,7.445278798530117,False
6,493,534.6240455416469,0,6,0-5,9-12,0.9221433343884186,7.876657613037226,False
7,486,302.99689870638696,0,7,0-5,>=12,1.6039768132113739,7.7648186611279755,False
8,73,70.32008583515965,1,0,5-10,<-6,1.0381102231746766,1.1663204984821856,False
9,121,127.65726463087181,1,1,5-10,-6--3,0.9478504834791684,1.9332161687170473,False
10,300,252.36831751260092,1,2,5-10,-3-0,1.1887387567380394,4.793097938967886,False
11,429,378.47382724505724,1,3,5-10,0-3,1.1334997802165794,6.854130052724078,False
12,260,397.6291814083068,1,4,5-10,3-6,0.6538755507811137,4.154018213772169,False
13,343,385.5667139911159,1,5,5-10,6-9,0.8895996141614634,5.480108643553283,False
14,334,292.42681247266574,1,6,5-10,9-12,1.142166127571562,5.336315705384247,False
15,263,164.4207744047493,1,7,5-10,>=12,1.5995545632973447,4.2019491931618465,False
16,23,20.812681636525234,2,0,10-15,<-6,1.10509546062705,0.36747084198753793,False
17,75,50.02563507392163,2,1,10-15,-6--3,1.4992313418745085,1.1982744847419715,False
18,156,105.3218274515176,2,2,10-15,-3-0,1.4811744514384815,2.492410928263301,False
19,156,144.09852932449203,2,3,10-15,0-3,1.0825925894684694,2.492410928263301,False
20,86,139.78349966751495,2,4,10-15,3-6,0.6152371360322009,1.374021409170794,False
21,93,120.40526025955522,2,5,10-15,6-9,0.7723915034901445,1.4858603610800447,False
22,73,66.11482059557862,2,6,10-15,9-12,1.1041397275587832,1.1663204984821856,False
23,33,23.636997660192293,2,7,10-15,>=12,1.3961163966088719,0.5272407732864675,False
24,10,5.165373660348369,3,0,15-20,<-6,1.9359683650312278,0.15976993129892955,False
25,25,13.105458199164062,3,1,15-20,-6--3,1.9076021318807943,0.3994248282473239,False
26,57,27.655402190875893,3,2,15-20,-3-0,2.0610801320692964,0.9106886084038984,False
27,41,35.837745169065045,3,3,15-20,0-3,1.1440451905269695,0.6550567183256111,False
28,30,32.14471739168242,3,4,15-20,3-6,0.9332793203452654,0.4793097938967887,False
29,31,22.610951853829658,3,5,15-20,6-9,1.3710170275184357,0.49528678702668155,False
30,18,10.281330451197938,3,6,15-20,9-12,1.750746178759648,0.28758587633807314,False
31,5,2.4386634656285686,3,7,15-20,>=12,2.050303402036346,0.07988496564946478,True
32,2,1.5031603982278041,4,0,>=20,<-6,1.33052999690383,0.031953986259785905,True
33,5,3.3565975651687068,4,1,>=20,-6--3,1.489603654571171,0.07988496564946478,True
34,17,6.808779652889736,4,2,>=20,-3-0,2.496776348575912,0.2716088832081802,False
35,13,8.213814315280198,4,3,>=20,0-3,1.5826995231455425,0.2077009106886084,False
36,9,6.634386240853492,4,4,>=20,3-6,1.3565685917680577,0.14379293816903657,True
37,11,3.6040300206256024,4,5,>=20,6-9,3.0521388382027337,0.17574692442882248,True
38,9,1.2133728482815527,4,6,>=20,9-12,7.417340855077077,0.14379293816903657,True
39,2,0.26213167556250794,4,7,>=20,>=12,7.62975323645341,0.031953986259785905,True
