cell,observed_accidents,expected_accidents,wind_order,temperature_order,wind_bin,temperature_bin,oe,sample_percent,sparse
0,292,393.95312085373746,0,0,0–5,<−3,0.7412049417636433,4.665281993928742,False
1,418,386.866137365288,0,1,0–5,−3–0,1.0804770943426218,6.6783831282952555,False
2,1001,1116.922913564506,0,2,0–5,0–6,0.8962122522900404,15.992970123022848,False
3,959,1138.3935258819,0,3,0–5,6–12,0.8424151914049881,15.321936411567345,False
4,486,302.979512190631,0,4,0–5,≥12,1.604068857613761,7.7648186611279755,False
5,194,197.97735046603145,1,0,5–10,<−3,0.9799100732651037,3.099536667199233,False
6,300,252.36829675086585,1,1,5–10,−3–0,1.1887388545327287,4.793097938967886,False
7,689,776.0855940859296,1,2,5–10,0–6,0.8877886733762934,11.008148266496246,False
8,677,677.9693109069701,1,3,5–10,6–12,0.9985702731799565,10.81642434893753,False
9,263,164.4469983020617,1,4,5–10,≥12,1.59929948685906,4.2019491931618465,False
10,98,70.83831671044686,2,0,10–15,<−3,1.3834320823937292,1.5657453267295094,False
11,156,105.3218274515176,2,1,10–15,−3–0,1.4811744514384815,2.492410928263301,False
12,242,283.8762795737645,2,2,10–15,0–6,0.8524840482035306,3.8664323374340945,False
13,166,186.525542744759,2,3,10–15,6–12,0.8899585416414196,2.6521808595622303,False
14,33,23.63946688749801,2,4,10–15,≥12,1.3959705672318867,0.5272407732864675,False
15,42,23.13058982290894,3,0,≥15,<−3,1.815777302764777,0.6710337114555041,False
16,74,34.46418184376563,3,1,≥15,−3–0,2.1471567302963894,1.1822974916120788,False
17,93,82.83088155286681,3,2,≥15,0–6,1.1227696513243404,1.4858603610800447,False
18,69,37.70967867300272,3,3,≥15,6–12,1.8297689725316801,1.1024125259626139,False
19,7,2.7004743715487716,3,4,≥15,≥12,2.592137171805623,0.11183895190925068,True
