variable,outcome,bin_label,bin_order,observed_accidents,estimated_vehicle_km,rate_per_million_vehicle_km,counter_days,counter_sections,analysed_accidents,allocation_method
f,All injury accidents,0-5,0,344,3011454847.8371444,0.1142305023258323,533649,1598,694,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,All injury accidents,5-10,1,210,1963519066.6833,0.1069508331053407,533649,1598,694,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,All injury accidents,10-15,2,96,539899925.1785336,0.1778107303279488,533649,1598,694,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,All injury accidents,15-20,3,33,98889631.01098733,0.3337053608414564,533649,1598,694,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,All injury accidents,>=20,4,11,16503739.36302562,0.6665156155243217,533649,1598,694,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,Minor injury accidents,0-5,0,268,3011454847.8371444,0.0889935308817531,533649,1598,541,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,Minor injury accidents,5-10,1,166,1963519066.6833,0.0845420871213645,533649,1598,541,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,Minor injury accidents,10-15,2,75,539899925.1785336,0.13891463306871,533649,1598,541,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,Minor injury accidents,15-20,3,24,98889631.01098733,0.2426948078846955,533649,1598,541,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
f,Minor injury accidents,>=20,4,8,16503739.36302562,0.484738629472234,533649,1598,541,full rural daily vehicle-km allocated by assigned-station calendar-month 07:00-24:00 weather frequency pooled across 2007-2025
