variable,bin_label,bin_order,observed_accidents,estimated_vehicle_km,period,rate_per_million_vehicle_km,outcome
f,0-5,0,344,3011454847.8371444,All year,0.11423050232583234,All injury accidents
f,10-15,2,96,539899925.1785336,All year,0.17781073032794886,All injury accidents
f,15-20,3,33,98889631.01098733,All year,0.3337053608414564,All injury accidents
f,5-10,1,210,1963519066.6833,All year,0.10695083310534072,All injury accidents
f,>=20,4,11,16503739.36302562,All year,0.6665156155243217,All injury accidents
fg,0-5,0,205,1840903463.6036365,All year,0.11135836509248831,All injury accidents
fg,10-15,2,129,1085125831.8122146,All year,0.11888022219926654,All injury accidents
fg,15-20,3,70,400320014.84363383,All year,0.17486010542676017,All injury accidents
fg,20-25,4,29,123282803.0372026,All year,0.23523151068562886,All injury accidents
fg,25-30,5,12,34474285.78386289,All year,0.34808552888475197,All injury accidents
fg,5-10,1,238,2133464937.320954,All year,0.11155561820428257,All injury accidents
fg,>=30,6,11,12695873.67148594,All year,0.866423239914969,All injury accidents
f,0-5,0,74,425039290.473728,Autumn,0.17410155168837033,All injury accidents
f,0-5,0,42,443709445.5076167,Spring,0.09465653802332462,All injury accidents
f,0-5,0,115,1572888035.0334647,Summer,0.07311391366617731,All injury accidents
f,0-5,0,113,569818076.8223351,Winter,0.198308906993894,All injury accidents
f,10-15,2,17,94305262.56470336,Autumn,0.18026565578284887,All injury accidents
f,10-15,2,12,90443863.29253982,Spring,0.1326789852086052,All injury accidents
f,10-15,2,11,155937285.81620342,Summer,0.07054117905428485,All injury accidents
f,10-15,2,56,199213513.50508696,Winter,0.28110542811429323,All injury accidents
f,15-20,3,3,19969042.106081247,Autumn,0.15023254415825976,All injury accidents
f,15-20,3,6,12987611.894284729,Spring,0.4619786954551925,All injury accidents
f,15-20,3,5,18151917.035307396,Summer,0.27545299982775767,All injury accidents
f,15-20,3,19,47781059.97531394,Winter,0.3976471013790054,All injury accidents
f,5-10,1,35,265669432.3421148,Autumn,0.13174266866701054,All injury accidents
f,5-10,1,39,354630898.96042114,Spring,0.10997349670975125,All injury accidents
f,5-10,1,64,873047079.1064751,Summer,0.0733064705576945,All injury accidents
f,5-10,1,72,470171656.274289,Winter,0.15313556025588365,All injury accidents
f,>=20,4,2,3062123.855757698,Autumn,0.6531414450265978,All injury accidents
f,>=20,4,4,1698111.4045166702,Spring,2.3555580566508896,All injury accidents
f,>=20,4,2,1949796.9633576067,Summer,1.0257478278948298,All injury accidents
f,>=20,4,3,9793707.139393646,Winter,0.3063191452737005,All injury accidents
fg,0-5,0,45,283968362.5748999,Autumn,0.158468357502786,All injury accidents
fg,0-5,0,25,247462255.73966667,Spring,0.1010255076083211,All injury accidents
fg,0-5,0,66,944098410.2465442,Summer,0.06990796646163676,All injury accidents
fg,0-5,0,69,365374435.0425257,Winter,0.18884736692639464,All injury accidents
fg,10-15,2,24,158741336.23864353,Autumn,0.15118935350222604,All injury accidents
fg,10-15,2,20,198724482.9964656,Spring,0.10064185196725715,All injury accidents
fg,10-15,2,32,431007447.95715576,Summer,0.07424465667976335,All injury accidents
fg,10-15,2,53,296652564.6199496,Winter,0.17866017800284276,All injury accidents
fg,15-20,3,9,73130574.26058774,Autumn,0.12306754173610215,All injury accidents
fg,15-20,3,11,64847263.97524441,Spring,0.16962936175995452,All injury accidents
fg,15-20,3,8,113483116.78265478,Summer,0.070495067696473,All injury accidents
fg,15-20,3,42,148859059.8251469,Winter,0.2821460786419994,All injury accidents
fg,20-25,4,4,25305684.31075893,Autumn,0.15806725283059686,All injury accidents
fg,20-25,4,4,16957220.65024752,Spring,0.23588771311657214,All injury accidents
fg,20-25,4,7,26339375.71432844,Summer,0.2657618037694055,All injury accidents
fg,20-25,4,14,54680522.3618677,Winter,0.25603266748898346,All injury accidents
fg,25-30,5,1,7612249.522337458,Autumn,0.1313672124206636,All injury accidents
fg,25-30,5,0,3879773.4380499055,Spring,0.0,All injury accidents
fg,25-30,5,0,5682917.081198037,Summer,0.0,All injury accidents
fg,25-30,5,11,17299345.742277488,Winter,0.6358621975579888,All injury accidents
fg,5-10,1,45,256553268.2352653,Autumn,0.17540217012060808,All injury accidents
fg,5-10,1,39,370347475.12840873,Spring,0.10530650974865625,All injury accidents
fg,5-10,1,81,1099825371.239717,Summer,0.07364805551693834,All injury accidents
fg,5-10,1,73,406738822.71756303,Winter,0.17947635170958529,All injury accidents
fg,>=30,6,3,2733676.1998921405,Autumn,1.0974233159429663,All injury accidents
fg,>=30,6,4,1251459.1312961227,Spring,3.1962689791213905,All injury accidents
fg,>=30,6,3,1537474.9332095883,Summer,1.9512513246230863,All injury accidents
fg,>=30,6,1,7173263.407088088,Winter,0.13940656340764984,All injury accidents
