outcome,period,wind_interval_ms,observed_accidents,expected_accidents,relative_accident_frequency,ci_95_low,ci_95_high,bootstrap_probability_above_1,analysed_accidents,background_measurements,contributing_stations,bootstrap_stations,bootstrap_repetitions,max_distance_km,max_time_difference_minutes
Injury accidents,All year,0-5,3107,3279.810421849389,0.9473108504387439,0.9244555501496701,0.9701890351092636,0.0,6192,85269337,270,270,5000,20.0,5.0
Injury accidents,All year,5-10,2085,2035.9308977829721,1.024101555838885,0.9857556069350519,1.0654202089212037,0.8886,6192,52276610,270,270,5000,20.0,5.0
Injury accidents,All year,10-15,700,683.7664006315317,1.0237414405760137,0.9437227154362778,1.1117540581031486,0.708,6192,17403408,270,270,5000,20.0,5.0
Injury accidents,All year,15-20,223,157.12474042936995,1.41925453235827,1.2248202034393403,1.607210613747797,1.0,6192,4272703,266,270,5000,20.0,5.0
Injury accidents,All year,20-25,61,28.950022841788616,2.107079511935585,1.5477941187797757,2.72839849522048,1.0,6192,875172,255,270,5000,20.0,5.0
Injury accidents,All year,>=25,16,6.417516464948743,2.493176306969988,0.8881574508626771,5.4656257886705495,0.9658,6192,212045,223,270,5000,20.0,5.0
Injury accidents,Winter,0-5,865,898.0391276297618,0.9632097014336518,0.9110352625781367,1.0151154221987306,0.0804,2033,22063672,209,209,5000,20.0,5.0
Injury accidents,Winter,5-10,672,706.8846787652485,0.9506501133591078,0.891443964017607,1.0155464359433406,0.0698,2033,17114453,209,209,5000,20.0,5.0
Injury accidents,Winter,10-15,341,320.4739306937891,1.0640491077129872,0.9555162271748362,1.174440486373887,0.8726,2033,7761220,209,209,5000,20.0,5.0
Injury accidents,Winter,15-20,119,86.44926692222386,1.3765298913067845,1.1105836356946026,1.6285430668348944,0.996,2033,2304005,206,209,5000,20.0,5.0
Injury accidents,Winter,20-25,32,17.390938296276737,1.8400387290690894,1.2316702575475484,2.470300460930617,0.9974,2033,533451,201,209,5000,20.0,5.0
Injury accidents,Winter,>=25,4,3.7620576927000187,1.0632479155653807,0.21063632902777743,2.4731600185996108,0.5206,2033,139806,182,209,5000,20.0,5.0
Injury accidents,Spring,0-5,370,413.3264668244206,0.8951761614558655,0.840702550831158,0.9539732546237416,0.0,790,12813392,185,185,5000,20.0,5.0
Injury accidents,Spring,5-10,302,280.3625501744718,1.077176676457191,0.9787348791459918,1.178833459356697,0.9392,790,8454273,185,185,5000,20.0,5.0
Injury accidents,Spring,10-15,79,79.60315393577078,0.992422989467761,0.7676047588263671,1.2131813997577834,0.4744,790,2474528,185,185,5000,20.0,5.0
Injury accidents,Spring,15-20,24,14.24585690106277,1.684700342470066,1.0548153846210637,2.311857497793104,0.9836,790,483302,184,185,5000,20.0,5.0
Injury accidents,Spring,20-25,10,2.099323217317597,4.763439911257432,1.9589554722810805,8.682216357826489,0.9978,790,77496,167,185,5000,20.0,5.0
Injury accidents,Spring,>=25,5,0.36264894695647093,13.787438353157977,1.6924752996494001,41.84588769951743,0.9788,790,13725,98,185,5000,20.0,5.0
Injury accidents,Summer,0-5,1285,1400.277276039291,0.9176753932868532,0.8867550002386034,0.9516707095573603,0.0,2273,37711408,250,250,5000,20.0,5.0
Injury accidents,Summer,5-10,784,696.649163628959,1.1253871258755501,1.0551640997861764,1.1926753787702524,1.0,2273,19105258,250,250,5000,20.0,5.0
Injury accidents,Summer,10-15,154,148.8958753248135,1.0342798258450878,0.8843512355004023,1.1808685965377343,0.669,2273,4264590,249,250,5000,20.0,5.0
Injury accidents,Summer,15-20,43,23.21832073099839,1.8519857873524601,1.314831576769234,2.4923034045767487,0.9992,2273,719925,240,250,5000,20.0,5.0
Injury accidents,Summer,20-25,4,3.327718954636412,1.2020245863692662,0.23339615545412648,3.0313474380726717,0.6044,2273,109212,220,250,5000,20.0,5.0
Injury accidents,Summer,>=25,3,0.6316453213016481,4.74950086516563,0.0,19.999492911985406,0.8618,2273,19644,137,250,5000,20.0,5.0
Injury accidents,Fall,0-5,587,568.1675513559154,1.033145941895382,0.9783854695649995,1.0868186737080479,0.8814,1096,12680865,184,184,5000,20.0,5.0
Injury accidents,Fall,5-10,327,352.0345052142928,0.9288862175625267,0.8541211178019557,1.0046712291457784,0.0324,1096,7602626,184,184,5000,20.0,5.0
Injury accidents,Fall,10-15,126,134.79344067715837,0.9347635861731625,0.7792573296669112,1.0971580895742536,0.1976,1096,2903070,184,184,5000,20.0,5.0
Injury accidents,Fall,15-20,37,33.21129587508493,1.114078780279012,0.7979410751308732,1.4425789640775135,0.7574,1096,765471,182,184,5000,20.0,5.0
Injury accidents,Fall,20-25,15,6.132042373557872,2.446167049445363,1.2512515396030361,3.873789335162546,0.9916,1096,155013,169,184,5000,20.0,5.0
Injury accidents,Fall,>=25,4,1.6611645039906044,2.40794935744824,0.0,6.5637633207520585,0.8408,1096,38870,126,184,5000,20.0,5.0
Serious or fatal,All year,0-5,734,762.5353359838282,0.9625783427504881,0.9141598796996654,1.0144333484494876,0.0802,1404,63042717,229,229,5000,20.0,5.0
Serious or fatal,All year,5-10,466,457.9080908275683,1.0176714701804184,0.9461971738045762,1.0887035657758437,0.6784,1404,38059636,229,229,5000,20.0,5.0
Serious or fatal,All year,10-15,144,144.3609567227629,0.9974996236450823,0.8424761171646027,1.171114953032983,0.4814,1404,12160004,229,229,5000,20.0,5.0
Serious or fatal,All year,15-20,46,31.868888295698547,1.4434140147338863,1.021811425467632,1.9116569648641737,0.9814,1404,2860785,225,229,5000,20.0,5.0
Serious or fatal,All year,20-25,11,5.982372442018798,1.83873540248657,0.6845091128116222,3.324285339491278,0.908,1404,566735,216,229,5000,20.0,5.0
Serious or fatal,All year,>=25,3,1.3443557281232275,2.2315522128864775,0.0,6.338703651224565,0.8224,1404,139129,188,229,5000,20.0,5.0
Serious or fatal,Winter,0-5,169,169.99769165714784,0.9941311458560274,0.8911542569994392,1.096111472630256,0.4466,372,15744085,136,136,5000,20.0,5.0
Serious or fatal,Winter,5-10,128,127.50269309595005,1.0039003639215347,0.873294134876835,1.129844772976224,0.515,372,11808528,136,136,5000,20.0,5.0
Serious or fatal,Winter,10-15,51,55.77606410369712,0.914370721913658,0.6993607450310385,1.1670422368207654,0.2402,372,5212252,136,136,5000,20.0,5.0
Serious or fatal,Winter,15-20,21,14.881543910699824,1.4111439059021966,0.8594746675232332,2.0675648778389113,0.918,372,1496162,133,136,5000,20.0,5.0
Serious or fatal,Winter,20-25,3,3.110026813868174,0.9646219082814512,0.0,2.168488964696644,0.4446,372,338107,130,136,5000,20.0,5.0
Serious or fatal,Winter,>=25,0,0.7319804186370037,0.0,0.0,0.0,0.0,372,95807,122,136,5000,20.0,5.0
Serious or fatal,Spring,0-5,90,98.56947752782389,0.9130615506670924,0.7863812686241994,1.0306365919304632,0.075,194,6825202,94,94,5000,20.0,5.0
Serious or fatal,Spring,5-10,73,70.76625255270685,1.0315651509966486,0.8570946334737283,1.230275538921481,0.634,194,4644317,94,94,5000,20.0,5.0
Serious or fatal,Spring,10-15,25,20.227003615018372,1.2359715000712077,0.7353162573701961,1.7427095659555358,0.8114,194,1328761,94,94,5000,20.0,5.0
Serious or fatal,Spring,15-20,3,3.6816473668724874,0.8148526192361714,0.0,1.9840490476966524,0.336,194,250363,94,94,5000,20.0,5.0
Serious or fatal,Spring,20-25,2,0.6070141183606292,3.294816281047013,0.0,10.784081187714262,0.8614,194,39509,87,94,5000,20.0,5.0
Serious or fatal,Spring,>=25,1,0.14860481921777424,6.729256865718071,0.0,58.13284034100344,0.63,194,7983,51,94,5000,20.0,5.0
Serious or fatal,Summer,0-5,355,384.7725916477457,0.9226228887035641,0.8561811058153332,0.9867195897869018,0.0098,626,32013051,194,194,5000,20.0,5.0
Serious or fatal,Summer,5-10,208,190.68177737285657,1.0908226410816362,0.9756604948874955,1.2047796908397617,0.9352,626,16312655,194,194,5000,20.0,5.0
