bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,season,analysis_outcome
0-10,0.0,1266,1.0,,,,1691,1242,3722,Winter,injury
10-15,10.0,302,1.1873246254461605,1.0439152360446238,1.3504350904316178,0.008939628916236066,1691,1242,3722,Winter,injury
>=15,15.0,123,1.4585522079169158,1.2010134839064799,1.771316119032818,0.00014019856203939266,1691,1242,3722,Winter,injury
0-10,0.0,508,1.0,,,,612,566,1665,Spring,injury
10-15,10.0,70,1.1892694374771158,0.9207746616885046,1.5360563813990027,0.18426708752270526,612,566,1665,Spring,injury
>=15,15.0,34,2.9737203539522814,2.064296522952641,4.2837899716372085,4.867095352208809e-09,612,566,1665,Spring,injury
0-10,0.0,1586,1.0,,,,1733,1469,4258,Summer,injury
10-15,10.0,103,0.9024090555797855,0.7353335246350708,1.107445908979248,0.3256063978262943,1733,1469,4258,Summer,injury
>=15,15.0,44,2.2021907847267164,1.6102859205184452,3.0116665559454723,7.700829595975918e-07,1733,1469,4258,Summer,injury
0-10,0.0,748,1.0,,,,897,803,2384,Fall,injury
10-15,10.0,103,0.9256503483720986,0.7498684121343695,1.1426385664153722,0.47213000882537914,897,803,2384,Fall,injury
>=15,15.0,46,1.385119252584531,1.0158356575553746,1.888647370872337,0.03946780774361289,897,803,2384,Fall,injury
