bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,season,analysis_outcome
0-10,0.0,242,1.0,,,,306,285,850,Winter,serious-fatal
10-15,10.0,40,0.8951369007857805,0.6370020648187955,1.2578767250563074,0.5233357674967215,306,285,850,Winter,serious-fatal
>=15,15.0,24,1.7087601631413338,1.104642584961227,2.643263382102262,0.0160799879427223,306,285,850,Winter,serious-fatal
0-10,0.0,111,1.0,,,,138,137,406,Spring,serious-fatal
10-15,10.0,21,1.3754603914209147,0.8521773096676795,2.220067663037813,0.1918599022645402,138,137,406,Spring,serious-fatal
>=15,15.0,6,1.8795751847550723,0.7991040226337328,4.420954938386433,0.14816118490676985,138,137,406,Spring,serious-fatal
0-10,0.0,395,1.0,,,,440,421,1220,Summer,serious-fatal
10-15,10.0,30,1.0466154902929783,0.7165116184625211,1.5288014266561532,0.8136918722348185,440,421,1220,Summer,serious-fatal
>=15,15.0,15,2.7207643377876045,1.5896257947175219,4.656793193955603,0.0002618771818758788,440,421,1220,Summer,serious-fatal
0-10,0.0,140,1.0,,,,170,164,489,Fall,serious-fatal
10-15,10.0,17,0.7960850264980077,0.47669264491723207,1.3294758712385244,0.3834455640171204,170,164,489,Fall,serious-fatal
>=15,15.0,13,2.019739349906073,1.1074787363239285,3.6834540544766097,0.021850933817755346,170,164,489,Fall,serious-fatal
