bin_label,bin_lower_ms,observed_accidents,time_proportional_rate_ratio,time_proportional_ci_95_low,time_proportional_ci_95_high,time_proportional_p_value,model_accidents,model_strata,model_rows,season,analysis_outcome
0-10,0.0,1256,1.0,,,,1669,1227,3671,Winter,injury
10-15,10.0,291,1.1513969236414867,1.0100127816844273,1.3125723751338543,0.03494362785745967,1669,1227,3671,Winter,injury
>=15,15.0,122,1.4496296159754798,1.1917639478798803,1.7632904798400755,0.0002028750238584869,1669,1227,3671,Winter,injury
0-10,0.0,517,1.0,,,,621,573,1684,Spring,injury
10-15,10.0,70,1.1558262815486162,0.8951951109047598,1.4923387950234592,0.26666886171223037,621,573,1684,Spring,injury
>=15,15.0,34,2.8506134152877824,1.9795307240734061,4.105011730607189,1.801739140630715e-08,621,573,1684,Spring,injury
0-10,0.0,1601,1.0,,,,1751,1483,4295,Summer,injury
10-15,10.0,106,0.9124355084310911,0.7455928958173931,1.1166127812057438,0.37377866690850325,1751,1483,4295,Summer,injury
>=15,15.0,44,2.119582068174063,1.5495869454030817,2.8992423800759415,2.5943609626474823e-06,1751,1483,4295,Summer,injury
0-10,0.0,767,1.0,,,,917,817,2425,Fall,injury
10-15,10.0,103,0.9019309830373149,0.7308973872649444,1.1129872843118775,0.33598441602650664,917,817,2425,Fall,injury
>=15,15.0,47,1.3795703327820013,1.015388375735704,1.8743707812424573,0.039626846163053425,917,817,2425,Fall,injury
