predictor,comparison,reference,odds_ratio,ci_95_low,ci_95_high,p_value,accidents,serious_or_fatal_accidents
Mean wind,10-15 m/s,0-10 m/s,0.9948346332099056,0.8170825977105014,1.2112556921504087,0.9588740756752177,6259,1424
Mean wind,>=15 m/s,0-10 m/s,0.9311248698439272,0.6901529698664998,1.256233851184583,0.6404771614623472,6259,1424
Temperature,<-6 °C,0-3 °C,1.1317806783081905,0.7901943844378856,1.6210283558303835,0.49945999247981,6259,1424
Temperature,-6--3 °C,0-3 °C,0.8519701483081087,0.6296491664894305,1.1527897950776136,0.29909429010034805,6259,1424
Temperature,-3-0 °C,0-3 °C,0.8283293368398694,0.660631770603851,1.0385959634403,0.1027104635240006,6259,1424
Temperature,3-6 °C,0-3 °C,1.1063684320726896,0.8808192482577126,1.3896734317604797,0.38484878631988106,6259,1424
Temperature,6-9 °C,0-3 °C,1.4066532691718623,1.102900741574663,1.7940630059300198,0.005976406952004351,6259,1424
Temperature,9-12 °C,0-3 °C,1.2813418787967175,0.9777078824760274,1.6792715286291646,0.07240146331581215,6259,1424
Temperature,12-15 °C,0-3 °C,1.3305516361176617,0.9785678468196514,1.8091414531236507,0.06849068825940408,6259,1424
Temperature,>=15 °C,0-3 °C,1.2114128447507717,0.8343969791238717,1.7587804332274488,0.31335113313174245,6259,1424
Daylight,Darkness,Daylight,0.8926417009197247,0.7103555607087029,1.1217047494157768,0.3298122637356936,6259,1424
Daylight,Civil twilight,Daylight,1.0893075972475375,0.8705212588002617,1.363081061405145,0.4545835343509681,6259,1424
Time of day,00-06,10-16,0.8618148954138901,0.6423517421901607,1.1562588924019441,0.3213264094655822,6259,1424
Time of day,06-10,10-16,0.6546481210012175,0.5237497638590507,0.8182612993898322,0.00019752763410738901,6259,1424
Time of day,16-20,10-16,0.9768198483490279,0.8384942095477574,1.1379649439001542,0.7633843189044187,6259,1424
Time of day,20-24,10-16,0.7685247950482249,0.6055071268688993,0.9754308981598426,0.030428161125739997,6259,1424
Season,Winter,Summer,0.8190218958162684,0.6362453144503918,1.0543053922619912,0.12125589960294383,6259,1424
Season,Spring,Summer,0.958963366579493,0.778480426623511,1.1812894801094562,0.6936708111910501,6259,1424
Season,Fall,Summer,0.8259804678246885,0.647822639915849,1.0531335140070337,0.12299487602984535,6259,1424
