scope,group,accidents,temperature_available,temperature_coverage_pct
All accidents,All,6414,6259,97.58341128780792
Year,2007,407,392,96.31449631449631
Year,2008,397,386,97.22921914357683
Year,2009,379,366,96.56992084432717
Year,2010,318,306,96.22641509433963
Year,2011,344,334,97.09302325581395
Year,2012,304,298,98.02631578947368
Year,2013,321,310,96.57320872274143
Year,2014,285,276,96.84210526315789
Year,2015,377,368,97.61273209549071
Year,2016,406,393,96.79802955665025
Year,2017,376,367,97.6063829787234
Year,2018,343,338,98.54227405247813
Year,2019,307,303,98.6970684039088
Year,2020,275,273,99.27272727272727
Year,2021,298,294,98.65771812080537
Year,2022,299,293,97.9933110367893
Year,2023,343,339,98.83381924198251
Year,2024,341,338,99.12023460410558
Year,2025,294,285,96.93877551020408
Season,Fall,1128,1109,98.31560283687944
Season,Spring,816,795,97.42647058823529
Season,Summer,2387,2300,96.35525764558022
Season,Winter,2083,2055,98.6557849255881
