unit,metric,value,percent_of_input,note
accidents,rural_injury_accidents_in_scope,6414,100.0,"Primary accident population, 2007-2025."
accidents,valid_wind_within_10_km,5098,79.48,Spatial sensitivity.
accidents,valid_wind_within_20_km,6259,97.58,Primary spatial criterion.
accidents,valid_wind_within_30_km,6402,99.81,Loose spatial sensitivity only.
accidents,valid_wind_within_20_km_and_0_minute_difference,763,11.9,Time-match sensitivity; <=5 minutes is primary.
accidents,valid_wind_within_20_km_and_2_minute_difference,3192,49.77,Time-match sensitivity; <=5 minutes is primary.
accidents,valid_wind_within_20_km_and_5_minute_difference,6259,97.58,Time-match sensitivity; <=5 minutes is primary.
weather_stations,stations_in_primary_accident_analysis,279,,Distinct stations assigned to primary accidents.
10_minute_weather_rows,raw_10_minute_rows,232459562,100.0,Raw weather observations.
10_minute_weather_rows,station_year_without_wind_data,0,0.0,Station-time rows from station-years with no wind values.
10_minute_weather_rows,missing_wind_in_wind_capable_station_year,261519,0.11,Missing f or fg within a station-year that otherwise measures wind.
10_minute_weather_rows,negative_wind_values,0,0.0,Invalid negative f or fg value.
10_minute_weather_rows,f_below_zero_ms,0,0.0,Reported negative mean-wind value.
10_minute_weather_rows,fg_below_zero_ms,0,0.0,Reported negative gust value.
10_minute_weather_rows,f_at_or_above_45_ms,3061,0.0,Operational upper threshold.
10_minute_weather_rows,fg_at_or_above_65_ms,7425,0.0,Operational upper threshold.
10_minute_weather_rows,fg_equal_zero_ms,2421807,1.04,Reported separately; gusts of zero are unusual.
10_minute_weather_rows,fg_zero_with_positive_f,255188,0.11,Internally inconsistent zero gust; excluded.
10_minute_weather_rows,fg_below_f_beyond_tolerance,2057,0.0,Failed internal wind consistency rule.
10_minute_weather_rows,frozen_zero_runs,1473082,0.63,Both f and fg equal zero for at least two hours.
10_minute_weather_rows,clean_wind_rows,230458950,99.14,Rows retained with valid f and fg.
10_minute_weather_rows,weather_rows_excluded_total,2000612,0.86,Exclusive total removed by all wind-cleaning rules combined.
