year,rural_injury_accidents,wind_matches,temperature_matches,accidents_at_f_ge15,wind_coverage_pct,temperature_coverage_pct
2007,407,387,387,20,95.08599508599508,95.08599508599508
2008,397,383,383,19,96.4735516372796,96.4735516372796
2009,379,363,363,12,95.77836411609499,95.77836411609499
2010,318,298,298,8,93.71069182389937,93.71069182389937
2011,344,328,328,21,95.34883720930233,95.34883720930233
2012,304,296,296,13,97.36842105263158,97.36842105263158
2013,321,307,297,13,95.6386292834891,92.5233644859813
2014,285,274,244,16,96.14035087719299,85.6140350877193
2015,377,364,361,18,96.55172413793103,95.75596816976127
2016,406,391,330,25,96.30541871921183,81.2807881773399
2017,376,366,316,14,97.34042553191489,84.04255319148936
2018,343,326,280,20,95.04373177842565,81.63265306122449
2019,307,300,247,11,97.71986970684038,80.45602605863192
2020,275,272,240,22,98.9090909090909,87.27272727272727
2021,298,292,235,10,97.98657718120805,78.85906040268456
2022,299,292,257,15,97.65886287625418,85.95317725752508
2023,343,339,299,15,98.83381924198251,87.17201166180757
2024,341,334,290,19,97.94721407624634,85.04398826979472
2025,294,280,256,9,95.23809523809524,87.07482993197279
