variable,comparison,reference,adjusted_odds_ratio,ci_95_low,ci_95_high,p_value,strata,cases,control_times,model_note
Mean wind,5-10 m/s,0-5 m/s,1.0292475131866428,0.964539248685572,1.0982968757824223,0.38421365530893203,6257,6257,21139,Mean wind and temperature included together
Mean wind,10-15 m/s,0-5 m/s,1.07151072884944,0.9712918817438275,1.1820702546984454,0.16802335243216604,6257,6257,21139,Mean wind and temperature included together
Mean wind,>=15 m/s,0-5 m/s,1.681440582294706,1.4412745083661282,1.9616266126795003,3.886683829790382e-11,6257,6257,21139,Mean wind and temperature included together
Temperature,<-6 °C,0-3 °C,0.8346895621019139,0.7032507858142341,0.9906944707857349,0.03874313762832232,6257,6257,21139,Mean wind and temperature included together
Temperature,-6--3 °C,0-3 °C,0.9312888293761581,0.8123215452303789,1.067679281453558,0.3073297264567477,6257,6257,21139,Mean wind and temperature included together
Temperature,-3-0 °C,0-3 °C,1.1304548765492184,1.020732464333964,1.2519717678890199,0.018578260981620503,6257,6257,21139,Mean wind and temperature included together
Temperature,3-6 °C,0-3 °C,0.5791686194093675,0.5211289365899919,0.6436723546834314,3.774941891008831e-24,6257,6257,21139,Mean wind and temperature included together
Temperature,6-9 °C,0-3 °C,0.6239424686251006,0.5543116285187556,0.7023201104301067,5.5886729057513526e-15,6257,6257,21139,Mean wind and temperature included together
Temperature,9-12 °C,0-3 °C,0.6459827122313793,0.5611979453343111,0.7435766078103208,1.148680123628638e-09,6257,6257,21139,Mean wind and temperature included together
Temperature,12-15 °C,0-3 °C,0.7383675214664029,0.6240834311014631,0.8735796683373297,0.0004073490031148585,6257,6257,21139,Mean wind and temperature included together
Temperature,>=15 °C,0-3 °C,0.9854635958161019,0.796857763285394,1.218709967353344,0.8925334330402858,6257,6257,21139,Mean wind and temperature included together
