variable,outcome,period,bin_label,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,analysed_accidents,contributing_stations,background_measurements,sparse_bin,max_distance_km,max_time_difference_minutes
f,All injury accidents,All year,0-5,0,3156,3339.117924105387,0.9451597912180811,6259,279,95500905,False,20,5
f,All injury accidents,All year,5-10,1,2123,2068.845376894629,1.0261762544993371,6259,279,58523325,False,20,5
f,All injury accidents,All year,10-15,2,695,670.1999490278284,1.0370039583084805,6259,279,19003894,False,20,5
f,All injury accidents,All year,15-20,3,217,149.24046003954382,1.4540292889910829,6259,276,4531228,False,20,5
f,All injury accidents,All year,>=20,4,68,31.59628993261168,2.152151412239534,6259,269,1110798,False,20,5
f,All injury accidents,Winter,0-5,0,874,911.3439157359456,0.9590232456802118,2055,215,25396993,False,20,5
f,All injury accidents,Winter,5-10,1,689,721.3805609219436,0.9551130669773519,2055,215,19709468,False,20,5
f,All injury accidents,Winter,10-15,2,347,318.7994568830882,1.0884585670020561,2055,215,8700959,False,20,5
f,All injury accidents,Winter,15-20,3,115,83.92329025557434,1.370298991493145,2055,213,2489028,False,20,5
f,All injury accidents,Winter,>=20,4,30,19.552776203448126,1.5343089742268676,2055,211,701384,False,20,5
f,All injury accidents,Spring,0-5,0,383,420.14519303437055,0.9115896274663986,795,194,14238305,False,20,5
f,All injury accidents,Spring,5-10,1,299,283.31219673610224,1.055372848202898,795,194,9289868,False,20,5
f,All injury accidents,Spring,10-15,2,76,76.47822370092855,0.9937469298084293,795,194,2610771,False,20,5
f,All injury accidents,Spring,15-20,3,23,12.976543910944589,1.7724287882693863,795,192,494322,False,20,5
f,All injury accidents,Spring,>=20,4,14,2.087842617654025,6.705486266838879,795,178,91476,True,20,5
f,All injury accidents,Summer,0-5,0,1309,1420.9129007114627,0.9212387327503135,2300,261,41744653,False,20,5
f,All injury accidents,Summer,5-10,1,797,708.620499958729,1.124720495732791,2300,261,21095540,False,20,5
f,All injury accidents,Summer,10-15,2,145,145.3811998210255,0.9973779290479459,2300,260,4566561,False,20,5
f,All injury accidents,Summer,15-20,3,41,21.709490877563702,1.8885749201227298,2300,254,750267,False,20,5
f,All injury accidents,Summer,>=20,4,8,3.3759086312189623,2.3697323813859814,2300,234,127775,True,20,5
f,All injury accidents,Autumn,0-5,0,590,586.7159146236078,1.0055974029245467,1109,196,14120954,False,20,5
f,All injury accidents,Autumn,5-10,1,338,355.5321192778543,0.9506876641315418,1109,196,8428449,False,20,5
f,All injury accidents,Autumn,10-15,2,127,129.5410686227862,0.9803840693163832,1109,196,3125603,False,20,5
f,All injury accidents,Autumn,15-20,3,38,30.6311349954612,1.2405678080694917,1109,195,797611,False,20,5
f,All injury accidents,Autumn,>=20,4,16,6.579762480290566,2.4316987198135807,1109,181,190163,True,20,5
f,Severe/fatal accidents,All year,0-5,0,743,773.9236828301949,0.9600429816062628,1424,238,68620335,False,20,5
f,Severe/fatal accidents,All year,5-10,1,476,470.4970952089662,1.0116959378645893,1424,238,41964999,False,20,5
f,Severe/fatal accidents,All year,10-15,2,148,142.87700602355832,1.0358559723430723,1424,238,13203672,False,20,5
f,Severe/fatal accidents,All year,15-20,3,45,30.287405577673134,1.4857660846715937,1424,234,3025682,False,20,5
f,Severe/fatal accidents,All year,>=20,4,12,6.41481035960747,1.8706710451740143,1424,227,723560,True,20,5
f,Severe/fatal accidents,Winter,0-5,0,170,171.19402334796982,0.9930253210677639,378,139,17507646,False,20,5
f,Severe/fatal accidents,Winter,5-10,1,130,132.16552475064856,0.983615055781497,378,139,13499686,False,20,5
f,Severe/fatal accidents,Winter,10-15,2,55,56.309885026804515,0.9767379204169749,378,139,5866985,False,20,5
f,Severe/fatal accidents,Winter,15-20,3,21,14.71159176130221,1.4274458087695854,378,137,1641736,False,20,5
f,Severe/fatal accidents,Winter,>=20,4,2,3.6189751132749026,0.5526426508609364,378,136,462223,True,20,5
f,Severe/fatal accidents,Spring,0-5,0,96,100.79440214004195,0.9524338451516315,196,95,7211965,False,20,5
f,Severe/fatal accidents,Spring,5-10,1,69,71.69822069841203,0.9623669782579166,196,95,5063272,False,20,5
f,Severe/fatal accidents,Spring,10-15,2,25,19.59530616552078,1.2758157381582091,196,95,1431492,False,20,5
f,Severe/fatal accidents,Spring,15-20,3,3,3.3206809385036755,0.9034291627402852,196,95,259615,True,20,5
f,Severe/fatal accidents,Spring,>=20,4,3,0.5913900575215678,5.072794109141057,196,90,45851,True,20,5
f,Severe/fatal accidents,Summer,0-5,0,357,389.8492792235373,0.9157385149230923,636,205,34767053,False,20,5
f,Severe/fatal accidents,Summer,5-10,1,218,196.99804628381648,1.1066099593999317,636,205,17785236,False,20,5
f,Severe/fatal accidents,Summer,10-15,2,45,41.62745909495,1.0810172174419155,636,205,3856079,False,20,5
f,Severe/fatal accidents,Summer,15-20,3,13,6.45730987130034,2.013222264240221,636,201,628526,True,20,5
f,Severe/fatal accidents,Summer,>=20,4,3,1.0679055263959094,2.8092372647651196,636,189,108341,True,20,5
f,Severe/fatal accidents,Autumn,0-5,0,120,112.08597811864587,1.0706067075845735,214,123,9133671,False,20,5
f,Severe/fatal accidents,Autumn,5-10,1,59,69.6353034760891,0.8472713846972608,214,123,5616805,False,20,5
f,Severe/fatal accidents,Autumn,10-15,2,23,25.34435573628304,0.9074998883113508,214,123,2049116,False,20,5
f,Severe/fatal accidents,Autumn,15-20,3,8,5.797823006566911,1.379828254663654,214,123,495805,True,20,5
f,Severe/fatal accidents,Autumn,>=20,4,4,1.1365396624150903,3.51945482615204,214,118,107145,True,20,5
fg,All injury accidents,All year,0-5,0,1976,2206.017546226623,0.8957317693959115,6259,279,63625994,False,20,5
fg,All injury accidents,All year,5-10,1,2233,2146.2457640036746,1.040421389503172,6259,279,60884645,False,20,5
fg,All injury accidents,All year,10-15,2,1186,1188.0338097088945,0.9982880876854903,6259,279,33567841,False,20,5
fg,All injury accidents,All year,15-20,3,520,487.59200366182677,1.0664653974937826,6259,279,13706356,False,20,5
fg,All injury accidents,All year,20-25,4,206,164.1378484548471,1.2550426482327677,6259,279,4791069,False,20,5
fg,All injury accidents,All year,25-30,5,77,48.72593563053669,1.580267243790879,6259,277,1493013,False,20,5
fg,All injury accidents,All year,>=30,6,61,18.24709231359742,3.3429983775850056,6259,272,601232,False,20,5
fg,All injury accidents,Winter,0-5,0,589,599.4241860018036,0.982609667335358,2055,215,16817757,False,20,5
fg,All injury accidents,Winter,5-10,1,588,629.444311641872,0.9341573021229365,2055,215,17247514,False,20,5
fg,All injury accidents,Winter,10-15,2,440,460.10562014164884,0.9563021635435379,2055,215,12642777,False,20,5
fg,All injury accidents,Winter,15-20,3,269,235.38505323929914,1.142808331702043,2055,215,6440126,False,20,5
fg,All injury accidents,Winter,20-25,4,105,89.78270083904378,1.169490325182317,2055,214,2577850,False,20,5
fg,All injury accidents,Winter,25-30,5,45,29.070688909668135,1.5479509322888527,2055,214,883557,False,20,5
fg,All injury accidents,Winter,>=30,6,19,11.787439226664482,1.611885298803485,2055,213,388251,True,20,5
fg,All injury accidents,Spring,0-5,0,215,263.69926589287184,0.8153227096481339,795,194,9110973,False,20,5
fg,All injury accidents,Spring,5-10,1,312,298.98449246920745,1.043532383312934,795,194,9914619,False,20,5
fg,All injury accidents,Spring,10-15,2,170,158.94832870861725,1.0695299622284333,795,194,5190230,False,20,5
fg,All injury accidents,Spring,15-20,3,61,53.910653791211296,1.1315017665384803,795,194,1809788,False,20,5
fg,All injury accidents,Spring,20-25,4,14,14.87035187870967,0.9414706601559457,795,193,524523,True,20,5
fg,All injury accidents,Spring,25-30,5,11,3.4918555079716014,3.150187622279318,795,191,131006,True,20,5
fg,All injury accidents,Spring,>=30,6,12,1.0950517514109257,10.95838619913491,795,177,43603,True,20,5
fg,All injury accidents,Summer,0-5,0,760,942.117485736369,0.8066934448265505,2300,261,28012893,False,20,5
fg,All injury accidents,Summer,5-10,1,992,871.7056664721833,1.1379987972484464,2300,261,25592656,False,20,5
fg,All injury accidents,Summer,10-15,2,392,353.28167273043374,1.109596195495569,2300,261,10572269,False,20,5
fg,All injury accidents,Summer,15-20,3,91,100.28202264179401,0.9074408114508293,2300,261,3061920,False,20,5
fg,All injury accidents,Summer,20-25,4,43,25.132878651402383,1.7109062832164137,2300,261,792620,False,20,5
fg,All injury accidents,Summer,25-30,5,9,5.777210357012657,1.5578452996912888,2300,258,191504,True,20,5
fg,All injury accidents,Summer,>=30,6,13,1.7030634108048985,7.633303561994773,2300,240,60934,True,20,5
fg,All injury accidents,Autumn,0-5,0,412,400.7766085955784,1.0280041079337219,1109,196,9684371,False,20,5
fg,All injury accidents,Autumn,5-10,1,341,346.111293420412,0.9852322258256871,1109,196,8129856,False,20,5
fg,All injury accidents,Autumn,10-15,2,184,215.6981881281946,0.8530437904774814,1109,196,5162565,False,20,5
fg,All injury accidents,Autumn,15-20,3,99,98.01427398952234,1.010056963851847,1109,196,2394522,False,20,5
