variable,outcome,period,bin_label,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,analysed_accidents,contributing_stations,background_measurements,sparse_bin,max_distance_km,max_time_difference_minutes
f,All injury accidents,All year,0-5,0,2013,2139.1517816467135,0.9410271946436628,4083,223,46705290,False,20,5
f,All injury accidents,All year,5-10,1,1418,1353.0467446903547,1.0480051820563745,4083,223,29059094,False,20,5
f,All injury accidents,All year,10-15,2,453,460.46210626617705,0.9837943097496421,4083,223,9723508,False,20,5
f,All injury accidents,All year,15-20,3,148,106.34473920654311,1.391700248684177,4083,220,2354259,False,20,5
f,All injury accidents,All year,>=20,4,51,23.99462819021152,2.1254757354733744,4083,211,568468,False,20,5
f,Severe/fatal accidents,All year,0-5,0,454,467.23735265101686,0.9716688903917664,871,185,30818437,False,20,5
f,Severe/fatal accidents,All year,5-10,1,294,286.79378720901684,1.0251268092698649,871,185,18786803,False,20,5
f,Severe/fatal accidents,All year,10-15,2,88,91.9191399913699,0.9573631782049107,871,185,5923302,False,20,5
f,Severe/fatal accidents,All year,15-20,3,27,20.366115518484644,1.3257314570122283,871,179,1342243,False,20,5
f,Severe/fatal accidents,All year,>=20,4,8,4.683604630111725,1.7080861071335058,871,171,318804,True,20,5
fg,All injury accidents,All year,0-5,0,1276,1436.2397793876098,0.8884310393798356,4083,223,31498013,False,20,5
fg,All injury accidents,All year,5-10,1,1444,1374.3308289852566,1.0506931588416626,4083,223,29739898,False,20,5
fg,All injury accidents,All year,10-15,2,792,784.8071479962781,1.0091651204019818,4083,223,16712618,False,20,5
fg,All injury accidents,All year,15-20,3,339,329.46554465967637,1.0289391576596343,4083,223,6927236,False,20,5
fg,All injury accidents,All year,20-25,4,143,112.0349029044129,1.2763879495839454,4083,223,2454637,False,20,5
fg,All injury accidents,All year,25-30,5,49,33.48058553170498,1.4635347387696866,4083,221,767493,False,20,5
fg,All injury accidents,All year,>=30,6,40,12.641210535061289,3.1642539208612326,4083,218,310724,False,20,5
fg,Severe/fatal accidents,All year,0-5,0,291,314.2385247454959,0.9260481356819092,871,185,20907146,False,20,5
fg,Severe/fatal accidents,All year,5-10,1,322,297.791868853882,1.0812921159979563,871,185,19495136,False,20,5
fg,Severe/fatal accidents,All year,10-15,2,152,163.37864021155028,0.9303541748369513,871,185,10556134,False,20,5
fg,Severe/fatal accidents,All year,15-20,3,65,65.43166858911114,0.9934027574350599,871,185,4185134,False,20,5
fg,Severe/fatal accidents,All year,20-25,4,21,21.505934243063116,0.9764746679988427,871,184,1423766,False,20,5
fg,Severe/fatal accidents,All year,25-30,5,16,6.302744994377764,2.5385764479242736,871,182,440917,True,20,5
fg,Severe/fatal accidents,All year,>=30,6,4,2.350618362519812,1.701679891461448,871,173,181356,True,20,5
temperature,All injury accidents,All year,<-6,0,139,164.32480026411915,0.8458857079186184,3883,195,3265927,False,20,5
temperature,All injury accidents,All year,-6--3,1,271,267.541337057816,1.0129275833791493,3883,201,4949136,False,20,5
temperature,All injury accidents,All year,-3-0,2,581,490.50685648195866,1.18448904907687,3883,212,8851692,False,20,5
temperature,All injury accidents,All year,0-3,3,788,706.3952575040613,1.1155227779759966,3883,215,12653967,False,20,5
temperature,All injury accidents,All year,3-6,4,487,711.8710085188164,0.6841127032456294,3883,215,13349422,False,20,5
temperature,All injury accidents,All year,6-9,5,582,691.0034909872629,0.8422533425532691,3883,215,13526379,False,20,5
temperature,All injury accidents,All year,9-12,6,555,542.1184744086754,1.0237614584254398,3883,214,10202446,False,20,5
temperature,All injury accidents,All year,>=12,7,480,309.23877477729,1.552198621746869,3883,210,5385440,False,20,5
temperature,Severe/fatal accidents,All year,<-6,0,29,32.200638258776245,0.9006032665236405,829,139,2014259,False,20,5
temperature,Severe/fatal accidents,All year,-6--3,1,45,50.01673184977193,0.8996989274541174,829,151,2935552,False,20,5
temperature,Severe/fatal accidents,All year,-3-0,2,92,90.34086137916083,1.0183653177035334,829,166,5146820,False,20,5
temperature,Severe/fatal accidents,All year,0-3,3,155,133.56490039597335,1.1604845250547042,829,171,7456733,False,20,5
temperature,Severe/fatal accidents,All year,3-6,4,93,145.53402034359942,0.6390258427578039,829,171,8179640,False,20,5
temperature,Severe/fatal accidents,All year,6-9,5,138,161.50887770988746,0.8544421951088311,829,171,9152851,False,20,5
temperature,Severe/fatal accidents,All year,9-12,6,144,137.12171103074718,1.0501619248881053,829,170,7370379,False,20,5
temperature,Severe/fatal accidents,All year,>=12,7,133,78.71225903208357,1.6896986776327743,829,167,4101942,False,20,5
