variable,outcome,period,bin_label,bin_order,observed_accidents,time_expected_accidents,time_oe,traffic_multiplier,traffic_change_pct,traffic_corrected_expected_accidents,traffic_corrected_oe,analysed_accidents,analysis_period
f,All injury accidents,All year,0-5,0,941,987.9565998977616,0.9524709892088166,1.0115174385988082,1.151743859880816,1000.850185019809,0.9402006554870902,1840,2019-2024
f,All injury accidents,All year,5-10,1,593,602.8525628739555,0.983656762066357,0.9953701491327854,-0.4629850867214569,603.0140570848097,0.9833933272912057,1840,2019-2024
f,All injury accidents,All year,10-15,2,218,195.3626384733126,1.1158735452366435,0.9569581886307116,-4.304181136928853,188.74836756454036,1.1549768764249437,1840,2019-2024
f,All injury accidents,All year,15-20,3,68,44.381385732540394,1.5321738805046472,0.8859997600179389,-11.40002399820611,39.89081644627646,1.7046530018150918,1840,2019-2024
f,All injury accidents,All year,>=20,4,20,9.44681302242989,2.1171161059833956,0.7772452765557689,-22.275472344423108,7.49657388456447,2.667885397778874,1840,2019-2024
f,Severe/fatal accidents,All year,0-5,0,240,255.6451444234361,0.9388013237696298,1.0115174385988082,1.151743859880816,258.841174010159,0.9272095172562479,472,2019-2024
f,Severe/fatal accidents,All year,5-10,1,158,156.36852712903962,1.0104335117872796,0.9953701491327854,-0.4629850867214569,156.31477753835154,1.0107809542270243,472,2019-2024
f,Severe/fatal accidents,All year,10-15,2,52,47.42145929990252,1.096549974793941,0.9569581886307116,-4.304181136928853,45.78751869601968,1.135680671958325,472,2019-2024
f,Severe/fatal accidents,All year,15-20,3,17,10.315221204850994,1.6480499702716331,0.8859997600179389,-11.40002399820611,9.270732974837209,1.8337277156123153,472,2019-2024
f,Severe/fatal accidents,All year,>=20,4,5,2.2496479427707565,2.222569987480707,0.7772452765557689,-22.275472344423108,1.785796780632581,2.799870653943533,472,2019-2024
fg,All injury accidents,All year,0-5,0,579,648.6233244626927,0.8926598507379189,1.0142611530534085,1.426115305340847,658.3488278828781,0.8794729715885596,1840,2019-2024
fg,All injury accidents,All year,5-10,1,644,625.0808390618681,1.0302667427248706,1.0064592610519796,0.6459261051979581,630.3365924200629,1.0216763674269314,1840,2019-2024
fg,All injury accidents,All year,10-15,2,346,349.26359735786536,0.9906557758021332,0.9893384267917004,-1.0661573208299746,347.12946809763395,0.9967462627018566,1840,2019-2024
fg,All injury accidents,All year,15-20,3,165,145.05126215534497,1.1375288815018418,0.9565905399061172,-4.340946009388292,139.8187255480069,1.1800994419974675,1840,2019-2024
fg,All injury accidents,All year,20-25,4,60,50.469358649460155,1.1888401518381846,0.9048424267475368,-9.515757325246332,46.15075230292036,1.3000871493096608,1840,2019-2024
fg,All injury accidents,All year,25-30,5,21,15.5251879186235,1.3526406321181528,0.8541084617079505,-14.589153829204948,13.440382021842808,1.5624555883807159,1840,2019-2024
fg,All injury accidents,All year,>=30,6,25,5.98643039414517,4.1761113642030185,0.7849000734481335,-21.50999265518665,4.775251726654909,5.235326100287627,1840,2019-2024
fg,Severe/fatal accidents,All year,0-5,0,141,168.03591441744825,0.8391063332432407,1.0142611530534085,1.426115305340847,170.40568761309243,0.8274371705253273,472,2019-2024
fg,Severe/fatal accidents,All year,5-10,1,181,165.52562519463453,1.09348627916173,1.0064592610519796,0.6459261051979581,166.76893674343899,1.0853340168406447,472,2019-2024
fg,Severe/fatal accidents,All year,10-15,2,83,88.12074011680578,0.9418895017220902,0.9893384267917004,-1.0661573208299746,87.4974452339917,0.9485991251291472,472,2019-2024
fg,Severe/fatal accidents,All year,15-20,3,35,34.04692713406516,1.027992918778895,0.9565905399061172,-4.340946009388292,32.78946002781506,1.0674161749022324,472,2019-2024
fg,Severe/fatal accidents,All year,20-25,4,16,11.373200850017373,1.4068159184910165,0.9048424267475368,-9.515757325246332,10.39553683692412,1.5391220531458534,472,2019-2024
fg,Severe/fatal accidents,All year,25-30,5,10,3.4654492127373087,2.885628784644962,0.8541084617079505,-14.589153829204948,3.0001888581027107,3.3331235042062985,472,2019-2024
fg,Severe/fatal accidents,All year,>=30,6,6,1.4321430742916108,4.18952554930157,0.7849000734481335,-21.50999265518665,1.142744686635,5.250516646608079,472,2019-2024
temperature,All injury accidents,All year,<-6,0,85,97.19866848101648,0.8744975762358417,1.0010514405617603,0.1051440561760319,98.01556405115198,0.8672092113415838,1840,2019-2024
temperature,All injury accidents,All year,-6--3,1,128,135.30099358799228,0.9460388767711146,0.9894425628412212,-1.0557437158778882,134.85580912545632,0.9491619295459615,1840,2019-2024
temperature,All injury accidents,All year,-3-0,2,280,234.72741115583636,1.1928730377983294,0.985270109041913,-1.4729890958086966,232.87335981313782,1.2023702506146583,1840,2019-2024
temperature,All injury accidents,All year,0-3,3,321,320.3343412181731,1.0020780125518092,0.9919085662820148,-0.8091433717985153,319.5711507440787,1.0044711459485451,1840,2019-2024
temperature,All injury accidents,All year,3-6,4,251,325.6629312080534,0.7707355549153546,0.9951891825561252,-0.4810817443874904,325.1501648699305,0.7719510156189134,1840,2019-2024
temperature,All injury accidents,All year,6-9,5,275,328.84920698919376,0.8362495458565503,1.0032594088640538,0.3259408864053847,329.8837558626026,0.8336269825742441,1840,2019-2024
temperature,All injury accidents,All year,9-12,6,264,257.8249969124072,1.0239503661845897,1.0040881997316955,0.4088199731695718,258.01608629090487,1.0231920179672382,1840,2019-2024
temperature,All injury accidents,All year,>=12,7,236,140.10145044732738,1.6844936240594215,1.0152874501354303,1.5287450135430536,141.6341092427372,1.6662652892145877,1840,2019-2024
