wind_bin,observed_accidents,expected_accidents,observed_expected_ratio,ci_95_low,ci_95_high,bootstrap_replicates,bootstrap_cluster,analysis_accidents,method,analysis_period,standardisation,exposure_method,bin_order
0-5,3156,3339.117924105387,0.9451597912180812,0.9226750481058186,0.96772185055836,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,0
5-10,2123,2068.845376894629,1.0261762544993371,0.9885399071301968,1.06563956689794,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,1
10-15,695,670.1999490278284,1.0370039583084805,0.955906945864212,1.1226406459965637,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,2
15-20,217,149.2404600395438,1.454029288991083,1.2490487021388592,1.643350952212732,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,3
20-25,53,26.391552420319808,2.008218355476254,1.4416639468969843,2.628001917132149,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,4
>=25,15,5.204737512291806,2.881989718900356,0.9745446486856592,6.021565622251878,5000,weather station,6259,Weather frequency,2007-2025,weather station and season,frequency of valid 10-minute weather observations,5
0-5,2424,2566.143954182507,0.9446079578073437,0.9174796660485858,0.9721050198271167,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,0
5-10,1684,1655.3178856051898,1.0173272545679792,0.979021317502335,1.057801771508793,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,1
10-15,578,558.1186440479357,1.0356220960616336,0.954373041220429,1.116474461573443,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,2
15-20,184,126.26272276814834,1.457278886167159,1.2203504256593478,1.6993136627445489,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,3
20-25,45,22.732695406617772,1.9795276888678999,1.361095047230445,2.59909687255907,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,4
>=25,18,4.424097989601237,4.06862597580539,1.587943177338864,7.505307134660003,5000,road section,4933,Annual traffic,2007-2025,"road section, year, and traffic period",annual traffic allocated by local wind frequency,5
0-10,612,657.1455514254679,0.9313005294983142,0.8976769563384231,0.9671281471343658,5000,counter id,762,Daily traffic,2019-2024,"counter, year, and season",observed daily traffic allocated by 10-minute wind frequency,0
10-15,103,84.91090377671635,1.2130361993419732,0.9698479089253981,1.4474910529218192,5000,counter id,762,Daily traffic,2019-2024,"counter, year, and season",observed daily traffic allocated by 10-minute wind frequency,1
>=15,47,19.943544797815708,2.3566522640021152,1.7868719448203079,2.990503983794516,5000,counter id,762,Daily traffic,2019-2024,"counter, year, and season",observed daily traffic allocated by 10-minute wind frequency,2
