coarse_bin,observed_accidents,expected_accidents,background_measurements,stations,observed_expected_ratio,variable,analysed_accidents,stratification,bin_order
0-5,3156,3334.8892888061264,32004988,279,0.946358252609289,f,6259,"weather station, season, and year",0
5-10,2123,2070.786496949095,19395195,279,1.025214334325548,f,6259,"weather station, season, and year",1
10-15,695,672.7583292729352,6094013,279,1.0330604167340476,f,6259,"weather station, season, and year",2
15-20,217,149.1772680897995,1364459,269,1.4546452202715872,f,6259,"weather station, season, and year",3
>=20,68,31.38861688204389,299685,253,2.1663904547160833,f,6259,"weather station, season, and year",4
<-6,224,262.4055408767508,2600136,252,0.8536405109875729,temperature,6259,"weather station, season, and year",0
-6--3,402,424.64069962540157,3951239,263,0.9466826904595481,temperature,6259,"weather station, season, and year",1
-3-0,948,784.5693213964904,7008703,273,1.2083062313889765,temperature,6259,"weather station, season, and year",2
0-3,1217,1116.40758497005,9759294,279,1.0901036649913558,temperature,6259,"weather station, season, and year",3
3-6,808,1130.7093273168512,10186786,279,0.7145956794372312,temperature,6259,"weather station, season, and year",4
6-9,944,1133.650423866868,10992593,278,0.8327081965708858,temperature,6259,"weather station, season, and year",5
9-12,927,908.6089769073614,9382620,275,1.0202408555936089,temperature,6259,"weather station, season, and year",6
>=12,789,498.00812504022633,5276967,271,1.5843115008139053,temperature,6259,"weather station, season, and year",7
