zero_run_rule,matched_accidents,coarse_bin,observed_accidents,expected_accidents,observed_expected_ratio,bootstrap_ci_95_low,bootstrap_ci_95_high
Exclude runs >= 2 h,6192,0-5,3107,3279.810421849392,0.9473108504387431,0.9243230493398564,0.9698225297548972
Exclude runs >= 2 h,6192,10-15,700,683.7664006315318,1.0237414405760135,0.944020853299277,1.1101287369338146
Exclude runs >= 2 h,6192,15-20,223,157.12474042937006,1.4192545323582688,1.2191583434347115,1.6025938172860463
Exclude runs >= 2 h,6192,20-25,61,28.95002284178861,2.1070795119355856,1.5529558699133068,2.726701789620877
Exclude runs >= 2 h,6192,5-10,2085,2035.9308977829721,1.024101555838885,0.9864442789754594,1.0651322739838383
Exclude runs >= 2 h,6192,>=25,16,6.4175164649487435,2.4931763069699877,0.864006159818518,5.296099321790364
Exclude runs >= 24 h,6194,0-5,3112,3286.6669530509057,0.9468559012683753,0.924042600638979,0.970195882004158
Exclude runs >= 24 h,6194,10-15,698,682.7380338053905,1.0223540588614106,0.9405636685631458,1.1085270185816098
Exclude runs >= 24 h,6194,15-20,223,156.96955634445376,1.4206576433881812,1.220283704737287,1.606381341644414
Exclude runs >= 24 h,6194,20-25,61,28.940335393902338,2.1077848328203053,1.532181036638915,2.7239183826513815
Exclude runs >= 24 h,6194,5-10,2084,2032.2397319952843,1.0254695679795103,0.9879390462001514,1.068898598740058
Exclude runs >= 24 h,6194,>=25,16,6.445389410063164,2.482394620722102,0.8325908465472804,5.318490960171308
No all-zero exclusion,6194,0-5,3122,3300.142709342272,0.9460196951974309,0.9233497080016312,0.9691398843330721
No all-zero exclusion,6194,10-15,696,679.5742652638381,1.0241706250159204,0.9415963519514392,1.1111712168223287
No all-zero exclusion,6194,15-20,222,156.163039420751,1.4215911833136399,1.2301673659957362,1.600398743641313
No all-zero exclusion,6194,20-25,61,28.86035388135812,2.113626196364902,1.5532240481107031,2.72571074832196
No all-zero exclusion,6194,5-10,2077,2022.7530372836231,1.026818381540648,0.9884967981948902,1.0688659207832822
No all-zero exclusion,6194,>=25,16,6.506594808157404,2.4590435506973,0.8447394580833375,5.384105912430189
